Player,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
David Rackley,63,1,63,0,1,1,63,0,0
Ron Brown,32.8,28,918,3,16,5,98,0,1
Steve Sewell,29,1,29,0,1,0,29,0,0
Danny Greene,28.8,5,144,0,3,1,52,0,0
Herman Fontenot,26.9,8,215,0,3,2,81,0,0
Steve Tasker,26.3,17,447,0,13,2,52,0,0
Willie Gault,26.2,22,577,1,15,1,99,0,0
Dennis Gentry,25.9,18,466,1,12,2,94,0,0
Glen Young,25.7,35,898,0,24,4,63,0,1
Carl Monroe,25.6,28,717,1,18,3,95,0,0
Eric Martin,25.6,15,384,0,6,3,69,0,0
Buster Rhymes,25.4,53,1345,0,32,5,88,0,2
Mitchell Brookins,25.3,6,152,0,5,0,39,0,0
Pete Mandley,25.3,6,152,0,5,0,35,0,0
Curtis Adams,25,2,50,0,2,0,26,0,0
Albert Bentley,25,27,674,0,20,3,48,0,1
Johnny Hector,24.9,11,274,0,5,3,47,0,0
Ken Jenkins,24.8,41,1018,0,28,2,95,0,0
Willie Drewrey,24.7,26,642,0,19,1,50,0,1
Vance Johnson,24.7,30,740,0,21,0,39,0,1
Walter Stanley,23.6,9,212,0,6,0,36,0,2
Phil Epps,23.2,12,279,0,7,1,48,0,0
Gary Anderson,23.2,13,302,1,7,2,98,0,0
Mike Martin,23,48,1104,0,34,2,45,0,3
Eric Richardson,23,3,69,0,2,0,31,0,0
Todd Spencer,22.8,27,617,0,22,1,40,0,1
Alvin Hall,22.7,39,886,0,22,2,54,0,2
Kirk Springs,22.7,10,227,0,4,1,58,0,0
Lorenzo Hampton,22.7,45,1020,0,24,2,46,0,0
Phil Freeman,22.6,48,1085,0,26,4,58,0,1
A.J. Jones,22.6,10,226,0,8,0,30,0,0
Steve Brown,22.5,2,45,0,1,0,28,0,0
Ron Springs,22.4,5,112,0,3,0,34,0,0
Sylvester Stamps,22.2,4,89,0,3,0,32,0,0
Fulton Walker,22.2,21,467,0,11,2,57,0,1
Drew Hill,22,1,22,0,1,0,22,0,0
Michael Morton,21.8,6,131,0,4,0,27,0,0
Herman Hunter,21.8,48,1047,0,24,5,51,0,3
Lionel James,21.6,36,779,0,19,1,46,0,1
John Williams,21.5,6,129,0,4,0,30,0,2
Cliff Austin,21.5,39,838,1,20,2,94,0,0
Cleo Montgomery,21.4,7,150,0,4,0,30,0,0
Bobby Humphery,21.4,17,363,0,6,1,56,0,1
Gene Lang,21.2,17,361,0,12,0,33,0,0
Don Wilson,21.1,22,465,0,13,0,37,0,2
Stephen Starring,21.1,48,1012,0,29,1,53,0,2
Rich Erenberg,21,21,441,0,14,0,35,0,0
Don Hasselbeck,21,1,21,0,1,0,21,0,0
Jo-Jo Townsell,21,2,42,0,1,0,23,0,0
Sam Seale,21,23,482,0,13,0,36,0,0
Anthony Hancock,20.8,6,125,0,2,1,40,0,1
Edward Anthony,20.7,23,476,0,12,1,52,0,0
Garcia Lane,20.7,13,269,0,8,0,37,0,0
Randall Morris,20.5,31,636,0,14,1,58,0,1
Joe Carter,20.5,4,82,0,3,0,25,0,1
Willie Tullis,20.4,23,470,0,9,2,62,0,0
Derrick Harmon,20.3,23,467,0,10,0,37,0,1
Keith Griffin,20.3,7,142,0,4,0,35,0,0
Dan Wagoner,20.2,13,262,0,7,0,34,0,0
Robert Lavette,20.1,34,682,0,19,0,34,0,0
Tom Flynn,20,1,20,0,1,0,20,0,0
Kenny Johnson,20,1,20,0,1,0,20,0,0
Frank Middleton,20,1,20,0,1,0,20,0,0
Jay Novacek,20,1,20,0,1,0,20,0,0
Jimmy Teal,20,1,20,0,1,0,20,0,0
Gerald Willhite,20,2,40,0,2,0,20,0,0
Van Williams,20,1,20,0,1,0,20,0,0
Robbie Martin,19.9,32,638,0,15,0,36,0,2
Anthony Hutchison,19.9,12,239,0,6,0,36,0,0
Jeff Smith,19.8,33,654,0,18,0,39,0,1
Clyde Duncan,19.6,28,550,0,13,0,34,0,3
Bobby Fowler,19.5,4,78,0,2,0,23,0,0
Phil McConkey,19.5,12,234,0,5,2,43,0,1
Herkie Walls,19.5,12,234,0,7,1,42,0,0
Leon Bright,19.4,11,213,0,5,1,47,0,1
Buford McGee,19.3,7,135,0,3,0,33,0,1
Perry Harrington,19.2,4,77,0,2,0,35,0,1
Kenny Duckett,19.2,9,173,0,4,0,25,0,1
Lynn Cain,19.2,6,115,0,3,0,28,0,0
Gerry Ellis,19,13,247,0,5,1,40,0,0
Dana McLemore,19,4,76,0,2,0,26,0,0
Tony Mumford,19,1,19,0,0,0,19,0,1
Carl Roaches,19,4,76,0,2,0,23,0,0
Dokie Williams,19,1,19,0,0,0,19,0,0
Carl Zander,19,1,19,0,0,0,19,0,0
Paul Skansi,18.8,19,358,0,10,0,35,0,1
Anthony Steels,18.7,30,561,0,11,1,54,0,2
Jeff Donaldson,18.6,5,93,0,2,0,22,0,0
Andre Waters,18.5,4,74,0,2,0,23,0,1
Louis Lipps,18.2,13,237,0,7,0,26,0,1
Stump Mitchell,18.2,19,345,0,9,0,35,0,1
Stephone Paige,18,2,36,0,1,0,23,0,0
Tony Slaton,18,1,18,0,0,0,18,0,0
Ken Taylor,18,1,18,0,0,0,18,0,0
Robert Weathers,18,1,18,0,0,0,18,0,0
Ron Wolfley,18,13,234,0,6,0,28,0,0
Gary Ellerson,18,29,521,0,16,0,32,0,1
James Jones,17.9,9,161,0,5,0,26,0,0
Alvin Moore,17.7,13,230,0,3,0,24,0,1
Charles White,17.6,17,300,0,6,0,32,0,1
Anthony Allen,17.5,8,140,0,2,0,26,0,0
Allen Rice,17.5,4,70,0,1,0,27,0,0
Lee Rouson,17.5,2,35,0,1,0,26,0,0
George Adams,17.2,14,241,0,6,0,29,0,3
Tony Galbreath,17.1,7,120,0,1,0,37,0,1
Darrin Nelson,17,3,51,0,1,0,26,0,0
Karl Powe,17,1,17,0,0,0,17,0,0
Mike Tice,17,1,17,0,0,0,17,0,0
Clarence Weathers,17,1,17,0,0,0,17,0,0
Kenny Hill,16.9,11,186,0,4,0,27,0,1
Stanford Jennings,16.8,13,218,0,4,0,26,0,0
Rufus Bess,16.5,2,33,0,1,0,22,0,0
Daniel Hunter,16.5,2,33,0,0,0,18,0,0
Lee Nelson,16.3,3,49,0,2,0,26,0,1
