Player,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Andre Waters,23,1,23,0,1,0,23,0,0
Irving Fryar,14,37,520,2,7,4,85,15,2
Henry Ellard,13.5,37,501,1,4,1,80,9,4
Darrell Green,13.4,16,214,0,4,0,37,0,2
Anthony Carter,13,9,117,0,2,1,41,5,0
Walter Stanley,12.8,14,179,0,2,0,27,3,0
Cedric Minter,12.5,2,25,0,1,0,20,4,0
Louis Lipps,12.1,36,437,2,3,2,71,2,3
Fulton Walker,11.2,62,692,0,8,0,32,6,4
Robbie Martin,11.1,40,443,1,2,1,70,7,2
Dennis McKinnon,11,4,44,0,0,0,17,0,0
Kenny Easley,10.9,8,87,0,1,0,25,0,2
J.T. Smith,10.9,26,283,0,2,0,31,10,1
Jo-Jo Townsell,10.8,6,65,0,1,0,22,1,0
Pete Mandley,10.6,38,403,1,3,1,63,5,3
Gerald Willhite,10.6,16,169,0,0,0,18,5,1
Cleo Montgomery,10.5,8,84,0,1,0,32,2,0
Kirk Springs,10.5,14,147,0,2,1,40,4,1
Ken Jenkins,10.5,26,272,0,3,0,28,9,1
Leon Bright,10.3,12,124,0,2,0,29,2,3
Paul Skansi,10.1,31,312,0,4,0,32,7,0
Don Wilson,10.1,16,161,0,2,0,30,5,3
Phil Epps,9.7,15,146,0,1,1,46,3,0
Kurt Sohn,9.3,16,149,0,1,1,46,5,0
Mike Kozlowski,9.3,7,65,0,0,0,17,2,0
Keith Ortego,9.3,17,158,0,1,0,23,2,0
Gordon Banks,9,3,27,0,1,0,28,3,0
Mike Haynes,9,1,9,0,0,0,9,0,0
Willie Drewrey,9,24,215,0,2,0,23,10,1
Tommy Vigorito,9,22,197,0,2,0,21,5,3
Garcia Lane,8.9,43,381,0,1,1,57,7,3
Stump Mitchell,8.8,11,97,0,1,0,21,2,1
Vance Johnson,8.7,30,260,0,2,0,38,6,3
Lionel James,8.5,25,213,0,1,0,24,8,3
Evan Cooper,8.5,43,364,0,1,1,56,10,1
Mike Martin,8.4,32,268,0,2,0,26,8,1
Phil McConkey,8.3,53,442,0,2,0,37,18,0
Darrin Nelson,8.3,16,133,0,1,0,21,3,0
Willie Tullis,8.3,17,141,0,0,0,17,6,1
Billy Johnson,8.2,10,82,0,0,0,18,0,2
Mike Prior,8.1,13,105,0,0,0,19,7,1
Brian Brennan,8,19,153,1,2,0,37,4,3
John Harris,8,3,24,0,0,0,12,1,0
Ken Taylor,7.9,25,198,0,1,0,21,8,3
Dave Duerson,7.8,6,47,0,0,0,11,0,1
Clarence Weathers,7.8,28,218,0,0,0,16,4,1
Rod Hill,7.5,16,120,0,1,0,25,1,1
Mark Clayton,7,2,14,0,0,0,11,0,0
Lee Nelson,7,2,14,0,0,0,8,0,0
Bill Bates,6.9,22,152,0,1,0,21,6,0
Dana McLemore,6.8,38,258,0,1,0,22,14,5
Anthony Allen,6.7,21,141,0,0,0,23,8,0
Glenn Blackwood,6.7,3,20,0,0,0,18,3,0
Eric Martin,6.6,8,53,0,0,0,13,10,1
Roland James,6.5,2,13,0,0,0,13,0,1
Eugene Daniel,6,1,6,0,0,0,6,1,0
Herman Hunter,6,1,6,0,0,0,6,0,0
Tom Flynn,5.9,7,41,0,0,0,13,4,0
Jeff Donaldson,5.8,6,35,0,0,0,13,1,1
Raphel Cherry,5.5,4,22,0,0,0,9,1,0
Danny Greene,5.4,11,60,0,0,0,13,3,1
Carl Roaches,5.2,4,21,0,0,0,10,2,1
Frank Lockett,4.6,5,23,0,0,0,8,0,0
James Maness,4.5,2,9,0,0,0,5,0,0
Mark Murphy,4,1,4,0,0,0,4,0,0
Leon Gonzalez,3.9,15,58,0,0,0,13,5,1
Rick Woods,3.5,13,46,0,0,0,10,2,0
Andre Reed,2.4,5,12,0,0,0,5,0,1
Vernon Dean,0,1,0,0,0,0,0,0,0
Jeff Groth,0,1,0,0,0,0,0,0,0
Gary Hayes,0,1,0,0,0,0,0,0,1
Bobby Humphery,0,1,0,0,0,0,0,0,1
Orlando Lowry,0,1,0,0,0,0,0,0,0
Stephen Starring,0,2,0,0,0,0,0,0,2
Charles White,0,1,0,0,0,0,0,0,1
Eric Wilson,0,1,0,0,0,0,0,0,0
Pat Tilley,-1,1,-1,0,0,0,-1,0,0
Jim Bowman,-3,1,-3,0,0,0,-3,0,0
