Player,INT,INT TD,INT Yds,Lng
Everson Walls,9,0,31,19
Eugene Daniel,8,0,53,29
Albert Lewis,8,0,59,16
Jeremiah Castille,7,0,49,20
Deron Cherry,7,1,87,47
James Griffin,7,1,116,33
John Harris,7,0,20,17
Fred Marion,7,0,189,83
Charles Romes,7,0,56,21
Glenn Blackwood,6,0,36,17
Dave Brown,6,1,58,28
Raymond Clayborn,6,1,80,38
Leslie Frazier,6,1,119,33
Gary Green,6,1,84,41
Wes Hopkins,6,1,36,24
LeRoy Irvin,6,1,83,34
Robert Jackson,6,1,100,57
Ronnie Lott,6,0,68,25
Elvis Patterson,6,1,88,29
Dave Waymer,6,0,49,28
Steve Brown,5,0,41,22
Bobby Butler,5,0,-4,-1
Vernon Dean,5,0,8,8
Dave Duerson,5,0,53,20
Gary Fencik,5,0,43,22
David Greenwood,5,0,15,7
Al Gross,5,1,109,37
Mike Harden,5,1,100,42
Johnnie Johnson,5,1,96,46
Curtis Jordan,5,0,88,36
E.J. Junior,5,0,109,53
Terry Kinard,5,0,100,31
Dennis Thurman,5,1,21,21
John Turner,5,0,62,25
Danny Walters,5,0,71,30
Bobby Watkins,5,0,15,8
Dwayne Woodruff,5,0,80,33
Louis Wright,5,0,44,24
Bill Bates,4,0,15,8
Scott Case,4,0,78,47
Ray Ellis,4,0,32,18
Ron Fellows,4,0,52,29
Kerry Glenn,4,1,15,15
Lester Hayes,4,1,27,27
Mike Haynes,4,0,8,8
John Hendy,4,1,139,75
Dwight Hicks,4,0,68,25
Terry Hoage,4,1,79,52
Bobby Jackson,4,0,8,8
Roland James,4,0,51,39
William Judson,4,1,88,61
Paul Lankford,4,0,10,6
Tim Lewis,4,0,4,4
Wilber Marshall,4,0,23,14
Mike Richardson,4,1,174,90
Donnie Shell,4,0,40,26
Terry Taylor,4,1,75,75
Eric Williams,4,0,47,29
Keith Bostic,3,0,28,26
Wendell Cason,3,0,30,22
Kyle Clifton,3,0,10,10
Dextor Clinkscale,3,0,16,11
Sherman Cocroft,3,0,27,27
Hanford Dixon,3,0,65,37
Michael Downs,3,0,11,11
Bo Eason,3,0,55,55
Herman Edwards,3,1,8,3
Steve Foley,3,0,47,29
William Graham,3,0,22,22
Greg Hill,3,0,37,37
Demetrious Johnson,3,0,39,19
Mel Kaufman,3,0,10,10
Carl Lee,3,0,68,35
Ronnie Lippett,3,0,93,58
Woodrow Lowe,3,0,6,4
Lance Mehl,3,0,33,18
Davlin Mullen,3,0,14,14
Vince Newsome,3,0,20,20
Johnnie Poe,3,1,63,40
Kevin Ross,3,0,47,27
Dennis Smith,3,0,46,39
Ken Taylor,3,0,28,18
Willie Teal,3,0,6,6
Carlton Williamson,3,1,137,82
Otis Wilson,3,1,35,23
Steve Wilson,3,0,8,8
Lonnie Young,3,0,0,0
John Anderson,2,0,2,2
Martin Bayless,2,0,10,10
Rodney Bellinger,2,0,64,41
Rufus Bess,2,0,27,27
Carlos Bradley,2,0,36,18
Larry Braziel,2,0,40,40
Louis Breeden,2,0,24,30
Bud Brown,2,0,40,26
Joey Browner,2,1,17,15
Derrick Burroughs,2,0,7,7
Keith Butler,2,0,31,31
Raphel Cherry,2,0,29,22
Jim Collins,2,0,8,4
Evan Cooper,2,0,13,13
Nolan Cromwell,2,0,5,5
Jeffery Dale,2,1,83,47
Preston Davis,2,0,14,14
Wayne Davis,2,0,29,28
Jack Del Rio,2,0,13,11
Richard Dent,2,1,10,9
Mike Douglass,2,1,126,80
Kenny Easley,2,0,22,16
Carl Ekern,2,1,55,33
Tim Fox,2,0,8,8
Darrell Green,2,0,0,0
Mike Green,2,0,17,12
George Greene,2,0,27,27
Harry Hamilton,2,0,14,14
Andy Headen,2,0,7,7
Kenny Hill,2,0,30,30
Rod Hill,2,0,17,17
Ray Horton,2,0,3,3
Linden King,2,0,8,5
Rod Kush,2,0,6,6
Tony Lilly,2,0,4,4
David Little,2,0,0,3
Cedric Mack,2,0,10,10
Vann McElroy,2,0,23,23
Bruce McNorton,2,0,14,10
Mike Merriweather,2,1,36,35
Rich Miano,2,0,9,6
Rich Milot,2,0,33,22
Mark Murphy,2,1,50,50
Tim Newton,2,0,63,63
Tony Peters,2,0,21,12
Tom Pridemore,2,0,45,36
John Rade,2,1,42,38
Eugene Robinson,2,0,47,47
Randy Scott,2,0,50,30
Victor Scott,2,1,26,26
Leonard Smith,2,0,73,67
Scott Studwell,2,0,20,13
John Swain,2,0,4,4
Willie Tullis,2,0,22,22
Frank Wattelet,2,0,0,0
Herb Welch,2,0,8,8
Perry Williams,2,0,28,28
Don Wilson,2,0,23,23
Felix Wright,2,0,11,10
Don Anderson,1,0,1,1
Jeff Barnes,1,0,0,0
Roosevelt Barnes,1,0,-1,-1
Duane Bickett,1,0,0,0
Don Blackmon,1,0,14,14
Lyle Blackwood,1,0,0,0
Jim Britt,1,0,8,8
Jay Brophy,1,0,41,41
Mark Brown,1,0,5,5
Keith Browner,1,0,25,25
Bob Brudzinski,1,0,6,6
Dan Bunz,1,0,17,17
Lloyd Burruss,1,0,0,0
Gill Byrd,1,0,25,25
Mossy Cade,1,0,0,0
Robin Cole,1,0,4,4
Johnie Cooks,1,0,7,7
Tom Cousineau,1,0,0,0
Bill Currier,1,0,9,9
Buddy Curry,1,0,0,0
Jeff Davis,1,0,22,22
Chris Doleman,1,0,5,5
Tom Flynn,1,0,7,7
Guy Frazier,1,0,8,8
William Frizzell,1,0,3,3
David Frye,1,0,20,20
Jeff Fuller,1,0,4,4
Bill Gay,1,0,7,7
Hugh Green,1,0,28,28
Jacob Green,1,1,19,19
James Harrell,1,0,20,20
Jim Haslett,1,0,40,40
Mike Hegman,1,0,7,7
Issiac Holt,1,0,0,0
John Holt,1,0,3,3
Daniel Hunter,1,0,20,20
Jim Jeffcoat,1,1,65,65
Cecil Johnson,1,0,12,12
Eddie Johnson,1,0,6,6
Lawrence Johnson,1,0,0,0
Bobby Kemp,1,0,0,0
Jim Kovach,1,0,53,53
Barry Krauss,1,0,0,0
Rich Kraynak,1,0,26,26
Mark Lee,1,0,23,23
Eugene Lockhart,1,1,19,19
Johnny Lynn,1,0,24,24
Leonard Marshall,1,0,3,3
George Martin,1,1,56,56
Rod Martin,1,0,16,16
Larry McGrew,1,0,0,0
Odis McKinney,1,0,22,22
Dana McLemore,1,0,0,0
Miles McPherson,1,0,30,30
Rod McSwain,1,0,0,0
Frank Minnifield,1,0,3,3
Alex Moyer,1,0,4,4
Mark Mullaney,1,0,15,15
Neal Olkewicz,1,0,21,21
Mike Pitts,1,0,1,1
Scott Radecic,1,0,21,21
Tate Randle,1,0,0,0
Ervin Randle,1,0,0,0
Gary Reasons,1,0,10,10
Glen Redd,1,0,25,25
Mike Reichenbach,1,0,10,10
Avon Riley,1,0,14,14
Ron Rivera,1,0,4,4
Randy Robbins,1,0,3,3
Mark Robinson,1,0,20,20
Chris Rockins,1,0,8,8
Don Rogers,1,0,3,3
Sam Seale,1,1,38,38
Todd Shell,1,0,33,33
Jackie Shipp,1,0,7,7
Mike Singletary,1,0,23,23
Billy Ray Smith Jr.,1,0,0,0
Jack Squirek,1,0,3,3
Mike Stensrud,1,0,0,0
Ivory Sully,1,0,20,20
Stacey Toran,1,1,76,76
Jimmy Turner,1,0,40,40
Brad Van Pelt,1,0,22,22
Michael Walter,1,0,0,0
Lionel Washington,1,1,48,48
Ted Watts,1,0,0,0
Curtis Weathers,1,0,9,9
Barry Wilburn,1,0,10,10
Mike Wilcher,1,0,0,0
Lee Williams,1,0,17,17
Ken Woodard,1,0,18,18
Eric Wright,1,0,0,0
Anthony Young,1,0,0,0
Roynell Young,1,0,0,0
Dennis Winston,0,0,8,8
