Player,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Robert Bailey,103,1,103,1,1,1,103,0,0
Beno Bryant,31,1,31,0,1,0,31,0,0
Todd Lyght,29,1,29,0,1,0,27,0,0
Brian Mitchell,14.1,32,452,2,4,3,78,24,1
Darrien Gordon,13.2,36,475,2,4,2,90,19,2
Scott Miller,13,1,13,0,0,0,13,2,0
Thomas Lewis,12.8,5,64,0,2,0,35,2,0
Mark Carrier,12.4,9,112,0,1,1,60,1,1
Dave Meggett,12.4,26,323,2,3,2,68,14,2
Tim Brown,12.2,40,487,0,5,1,48,14,2
Corey Sawyer,11.8,26,307,1,4,2,82,16,2
Mel Gray,11.1,21,233,0,2,0,24,12,0
Russell Copeland,11,1,11,0,0,0,11,2,0
Clayton Holmes,11,5,55,0,0,0,19,1,1
Jeff Burris,10.4,32,332,0,2,1,57,6,2
Vernon Turner,10.4,21,218,1,2,1,80,4,1
Eric Metcalf,9.9,35,348,2,3,2,92,6,3
Todd Kinchen,9.9,16,158,0,3,2,40,5,4
Jeff Sydner,9.5,40,381,0,5,3,49,17,1
Tony Smith,9.4,8,75,0,1,0,20,3,0
Jeff Graham,9.3,15,140,1,1,1,61,5,0
Glyn Milburn,9.2,41,379,0,5,1,44,4,3
Cliff Hicks,9,38,342,0,3,0,26,5,5
Kevin R. Williams,9,39,349,1,3,2,83,13,4
Robert Brooks,8.8,40,352,1,3,1,85,13,3
