Player,FF,FR,FR TD
Greg Lloyd,7,1,0
Chris Slade,5,0,0
Neil Smith,5,1,0
Marco Coleman,4,1,0
Ken Harvey,4,1,0
Mike Johnson,4,1,0
Seth Joyner,4,0,0
Darren Mickell,4,1,0
Bruce Smith,4,2,0
Derrick Thomas,4,3,0
Gene Atkins,3,0,0
Terrell Buckley,3,1,0
Glenn Cadrez,3,0,0
Ray Childress,3,0,0
Willie Clay,3,0,0
Darion Conner,3,1,0
Doug Evans,3,1,0
William Fuller,3,1,0
Charles Haley,3,0,0
Randy Hilliard,3,0,0
Carnell Lake,3,1,0
Lamar Lathon,3,1,0
Mo Lewis,3,1,0
Sean Lumpkin,3,1,0
Chester McGlockton,3,1,0
