Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Cris Carter,122,1256,7,15,2,65,63,51.6,4,0,0
Jerry Rice,112,1499,13,21,3,69,77,68.8,1,0,0
Terance Mathis,111,1342,11,14,4,81,67,60.4,0,0,0
Ben Coates,96,1174,7,15,1,62,65,67.7,2,0,0
Sterling Sharpe,94,1119,18,14,2,49,63,67,1,0,0
Andre Reed,90,1303,8,15,3,83,64,71.1,2,0,0
Tim Brown,89,1309,9,17,4,77,68,76.4,1,0,0
Shannon Sharpe,87,1010,4,14,2,44,51,58.6,1,0,0
Jake Reed,85,1175,4,13,3,59,59,69.4,3,0,0
Quinn Early,82,894,4,10,0,33,46,56.1,0,0,0
Brian Blades,81,1086,4,16,2,45,61,75.3,0,0,0
Andre Rison,81,1088,8,18,2,69,57,70.4,1,0,0
Michael Irvin,79,1241,6,16,3,65,65,82.3,0,0,0
Fred Barnett,78,1127,5,14,6,54,48,61.5,1,0,0
Edgar Bennett,78,546,4,2,1,40,28,35.9,0,0,0
Rob Moore,78,1010,6,13,1,41,53,68,0,0,0
Larry Centers,77,647,2,5,0,36,37,48,0,0,0
Michael Haynes,77,985,5,12,3,78,46,59.7,1,0,0
Glyn Milburn,77,549,3,4,0,33,29,37.7,0,0,0
Henry Ellard,74,1397,6,30,3,73,71,96,0,0,0
Michael Timpson,74,941,3,15,0,37,52,70.3,0,0,0
Irving Fryar,73,1270,7,20,6,54,56,76.7,0,0,0
Herman Moore,72,1173,11,19,3,51,56,77.8,1,0,0
Carl Pickens,71,1127,11,15,7,70,53,74.6,1,0,0
Jeff Graham,68,944,4,11,5,76,49,72.1,1,0,0
