Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Ravens,37,86,31,96.9,1,0
Raiders,34,91.9,35,97.2,0,0
Seahawks,34,91.9,41,97.6,0,0
Panthers,33,94.3,30,93.8,0,0
Falcons,32,86.5,33,94.3,1,0
Colts,32,82,23,100,0,0
Patriots,32,86.5,32,91.4,0,1
Chargers,31,93.9,40,100,0,0
Buccaneers,31,81.6,24,96,0,0
Jaguars,30,85.7,36,97.3,0,0
Jets,30,81.1,28,96.6,0,0
Cowboys,29,90.6,50,94.3,0,0
Texans,29,93.6,24,100,0,0
Giants,29,90.6,32,94.1,0,0
Broncos,28,77.8,25,92.6,0,0
Rams,28,93.3,31,96.9,0,0
Steelers,28,73.7,22,100,0,0
Bills,27,87.1,48,96,2,0
49ers,27,84.4,51,96.2,0,0
Dolphins,26,81.2,41,93.2,0,0
Vikings,26,78.8,40,87,1,0
Cardinals,26,86.7,21,87.5,0,0
Bears,25,92.6,27,84.4,0,0
Packers,25,86.2,37,94.9,1,0
Commanders,25,83.3,24,85.7,0,0
Bengals,24,82.8,40,90.9,0,0
Browns,24,75,35,94.6,0,1
Lions,24,80,47,95.9,0,1
Saints,23,74.2,33,100,0,0
Eagles,22,88,53,96.4,0,0
Chiefs,21,75,42,89.4,0,0
Titans,20,83.3,32,97,0,0
