Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Colts,27.8,43,1197,0,35,4,89,0,1
Bears,26.2,38,996,0,31,5,63,0,0
Lions,26.2,34,889,0,29,3,52,0,2
Packers,25.6,47,1205,1,24,5,105T,0,0
Vikings,25.6,36,920,1,28,1,97T,0,0
Bills,25.2,36,908,2,24,4,101T,0,0
Jaguars,24.9,29,721,0,22,2,54,0,0
Ravens,24.4,27,659,1,17,2,103T,0,0
Seahawks,24.3,30,728,0,22,2,50,0,0
Panthers,24.1,31,747,0,17,3,66,0,2
Cowboys,23.9,22,526,0,13,1,63,0,1
Patriots,23.8,36,856,0,25,1,46,0,0
Texans,23.3,22,513,0,16,1,50,0,0
49ers,23,26,599,0,18,0,39,0,1
Browns,23,41,943,0,23,3,48,0,0
Falcons,22.6,28,634,1,15,1,103T,0,0
Cardinals,22.1,31,686,0,18,1,44,0,0
Eagles,22.1,30,663,0,17,2,66,0,0
Saints,22,27,595,0,19,0,33,0,1
Commanders,22,41,902,0,25,2,45,0,0
Jets,21.5,31,666,0,21,1,42,0,0
Titans,21.4,37,792,0,22,0,37,0,0
Giants,21.4,26,555,0,14,2,47,0,0
Steelers,21.2,24,510,0,11,1,89,0,1
Buccaneers,21.2,28,595,0,16,1,54,0,1
Raiders,20.9,32,668,0,18,0,33,0,0
Bengals,20.6,29,596,0,17,1,42,0,0
Rams,20.1,33,663,0,17,0,34,0,0
Chiefs,19.2,36,692,0,14,3,48,0,2
Chargers,19,27,512,0,10,0,33,0,1
Dolphins,18.9,29,549,0,14,0,31,0,0
Broncos,17.5,24,420,0,10,0,29,0,2
