Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Chiefs,45.6,2416,53,50.4,76,2672,22,3,8,4,16,22,176,0,0
Seahawks,44.4,2932,66,48.5,68,3199,22,8,8,3,12,35,207,0,0
Panthers,44.1,3574,81,48.5,68,3925,39,7,10,6,31,27,231,0,0
Titans,44,3963,90,53.1,74,4779,30,1,10,9,11,59,636,0,0
Raiders,43.9,2590,59,48.9,67,2884,26,8,9,1,16,25,274,0,0
Jaguars,43.8,2539,58,49.3,70,2862,24,4,9,6,10,29,203,0,0
Vikings,43.1,3144,73,47.4,73,3457,32,7,5,1,22,38,293,0,1
Commanders,43,3566,83,46.8,68,3885,37,5,13,5,26,34,219,0,0
Cowboys,42.8,2913,68,48.4,83,3291,27,1,6,6,23,32,258,0,0
Texans,42.6,3748,88,48.1,67,4229,37,6,11,4,22,45,401,1,0
Bills,42.2,1901,45,47.7,67,2146,16,6,5,5,13,16,145,0,1
Rams,42,2982,71,48.4,67,3434,19,11,6,4,14,36,372,0,2
Buccaneers,41.6,3285,79,48.8,74,3859,22,9,7,10,21,32,374,0,0
Saints,41.6,3199,77,46.4,68,3571,32,6,13,7,25,26,232,0,0
Broncos,41.5,3988,96,46.6,59,4470,30,3,14,6,29,44,362,0,0
Chargers,41.5,3028,73,43.6,60,3186,28,6,10,5,33,19,58,0,0
Lions,41.4,2152,52,48.6,66,2525,14,3,7,3,9,30,313,0,0
Falcons,41.2,2555,62,45.9,73,2845,23,6,7,2,22,25,250,0,0
Colts,41.2,2881,70,44.8,70,3133,28,9,10,3,22,26,192,0,1
Steelers,41.1,2835,69,44.5,69,3072,20,7,11,5,22,24,137,0,0
Browns,41,2500,61,48.5,76,2959,23,8,11,7,9,26,319,0,0
Cardinals,40.9,2740,67,47.1,65,3157,18,4,6,4,16,37,337,0,1
Ravens,40.9,2329,57,45.9,69,2618,26,3,5,7,20,22,149,0,0
Bears,40.9,2697,66,46,63,3038,20,4,8,3,20,31,281,0,1
Giants,40.6,3006,74,46.8,69,3463,26,7,6,9,24,28,277,0,1
Dolphins,40.6,2476,61,46.4,66,2828,28,3,11,2,15,30,312,0,0
Jets,40.6,3366,83,46.9,72,3889,27,15,12,8,16,32,363,2,0
Packers,40.4,2103,52,44.5,72,2313,24,4,9,1,18,20,190,0,2
Bengals,39.9,2352,59,45.4,65,2678,22,7,4,3,20,25,266,0,0
Eagles,39.7,2185,55,44.5,59,2448,17,4,9,3,14,25,203,0,1
49ers,39.7,2423,61,43.9,74,2676,32,6,16,5,17,17,153,0,0
Patriots,36.3,2871,79,42.2,62,3338,22,10,6,10,19,34,267,0,1
