Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Cowboys,100,6506,78,78,21,24.2,0,0,1,0
49ers,99,6223,47,47.5,51,21.5,0,0,1,0
Eagles,97,6290,67,69.1,30,26.1,0,0,0,0
Seahawks,94,5903,54,57.4,38,20.9,2,0,0,0
Bills,93,5822,43,46.2,48,20.2,0,0,2,0
Lions,93,5764,54,58.1,34,21.9,4,0,1,0
Bengals,90,5604,51,56.7,37,21.4,1,0,2,0
Raiders,90,5548,57,63.3,29,20.1,3,0,1,0
Dolphins,90,5633,61,67.8,26,27.8,3,0,0,1
Jaguars,89,5537,44,49.4,41,21.5,1,1,3,0
Vikings,89,5640,54,60.7,34,26.2,1,0,0,1
Ravens,86,5449,60,69.8,26,21.2,0,0,0,0
Chargers,86,5384,69,80.2,15,21.1,2,0,0,0
Chiefs,85,5455,55,64.7,30,23.4,0,0,0,0
Patriots,85,5256,31,36.5,52,25.6,1,0,1,3
Giants,85,5174,50,58.8,30,25.6,5,0,0,0
Panthers,84,5154,46,54.8,33,22.4,3,0,2,0
Browns,82,5111,50,61,29,22.3,3,0,2,0
Falcons,80,5143,59,73.8,21,22.4,0,0,0,0
Packers,80,4867,18,22.5,61,23.2,1,0,0,0
Colts,78,5069,42,53.8,34,23,0,0,2,0
Rams,78,4886,61,78.2,15,23,1,0,1,0
Buccaneers,78,4859,40,51.3,34,25.8,3,0,1,0
Commanders,78,4865,60,76.9,15,23.3,3,0,0,0
Bears,76,4819,41,54,32,25.7,2,0,1,1
Texans,75,4564,33,44,37,19,5,0,1,0
Saints,75,4554,48,64,23,22.6,4,0,0,0
Broncos,73,4580,51,69.9,21,21.2,2,1,0,0
Jets,73,4445,58,79.4,12,20.9,3,1,0,0
Cardinals,72,4562,53,73.6,18,21.8,1,0,0,0
Titans,69,4343,37,53.6,32,20.2,0,0,0,0
Steelers,65,3989,25,38.5,37,21.7,1,0,3,0
