Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Falcons,16.2,18,292,0,3,1,56,19,1
Lions,13.2,20,264,1,3,2,47T,20,1
Chargers,11.7,29,339,0,4,0,28,17,1
Jets,11.4,21,240,0,2,0,22,28,1
49ers,10.8,33,356,0,3,0,35,21,1
Patriots,10.7,39,418,1,5,1,84T,10,2
Ravens,10.7,20,214,0,2,2,46,20,1
Cowboys,10.4,29,303,0,4,1,52,26,3
Bengals,10.3,33,340,0,5,0,27,19,2
Buccaneers,10.3,38,391,0,2,0,24,28,2
Texans,9.8,37,362,0,3,0,31,18,1
Browns,9.6,31,298,1,2,1,76T,16,2
Bills,9.5,29,276,0,3,0,28,18,3
Eagles,9.2,35,323,0,3,0,27,18,2
Packers,9,35,316,0,2,0,24,16,4
Saints,9,27,243,0,2,1,42,37,1
Bears,8.6,23,198,0,2,0,27,10,3
Colts,8.5,34,289,0,1,0,24,21,7
Titans,8.4,36,303,0,2,1,46,24,7
Broncos,8.3,37,308,0,3,0,30,16,6
Cardinals,8.3,35,289,0,1,0,28,11,1
Jaguars,7.9,29,230,0,1,0,22,14,0
Commanders,7.6,44,336,0,0,0,19,26,1
Rams,7.3,25,183,0,1,0,22,19,1
Seahawks,6.8,16,109,0,1,0,20,19,3
Chiefs,6.7,36,241,0,2,0,22,13,5
Vikings,6.4,26,167,0,2,0,25,14,4
Panthers,6.4,34,216,0,2,0,22,15,6
Giants,6.2,29,179,0,2,0,23,15,4
Steelers,5.9,27,160,0,2,0,24,18,5
Dolphins,5.8,19,111,0,0,0,15,29,1
Raiders,5.8,27,156,0,0,0,17,12,2
