Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
49ers,495,327,66.1,7.6,3751,29,17,185,37.4,31
Chargers,519,300,57.8,5.5,2849,18,20,156,30.1,60
Vikings,499,283,56.7,6.8,3400,24,24,170,34.1,30
Saints,445,255,57.3,7,3112,31,12,155,34.8,27
Browns,536,336,62.7,7.2,3865,23,22,197,36.8,32
Buccaneers,516,328,63.6,6.4,3304,17,15,168,32.6,24
Seahawks,462,267,57.8,6.7,3110,28,23,147,31.8,26
Giants,448,255,56.9,7.2,3245,22,18,160,35.7,28
Packers,460,259,56.3,7.4,3383,19,13,166,36.1,34
Bengals,491,284,57.8,6.4,3124,22,20,154,31.4,35
Colts,476,260,54.6,7,3336,21,17,164,34.4,30
Dolphins,505,290,57.4,6.4,3206,21,28,185,36.6,27
Redskins,392,187,47.7,5.5,2171,17,33,127,32.4,43
Steelers,532,280,52.6,6.3,3372,25,26,171,32.1,18
Jets,544,337,62,6.7,3664,27,23,198,36.4,28
Eagles,543,265,48.8,5.2,2825,16,25,157,28.9,44
Cardinals,531,287,54,6.3,3325,23,20,176,33.2,38
Falcons,564,333,59,6.4,3594,24,26,175,31,46
Broncos,448,270,60.3,7,3125,20,16,158,35.3,39
Oilers,454,246,54.2,6.2,2801,16,26,147,32.4,34
Bills,433,240,55.4,5.3,2282,15,24,120,27.7,33
Raiders,524,296,56.5,6.3,3312,17,35,181,34.5,54
Rams,510,245,48,5.1,2601,23,25,141,27.6,56
Cowboys,484,231,47.7,6.6,3210,21,27,160,33.1,43
Lions,462,256,55.4,6.4,2934,14,23,142,30.7,44
Patriots,458,266,58.1,6.3,2886,28,24,141,30.8,44
Bears,451,238,52.8,6.4,2892,20,17,149,33,46
Chiefs,523,278,53.2,5.9,3109,25,28,179,34.2,37
