Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Falcons,0,0,0,0,100,22.7,1051
Bills,0,0,0,0,109,22.4,953
Bears,0,0,0,0,111,21.9,1001
Bengals,0,0,0,0,111,23.7,997
Browns,0,0,0,0,105,21.6,1053
Cowboys,0,0,0,0,98,20.9,996
Broncos,0,0,0,0,125,22.6,1041
Lions,0,0,0,0,100,22.3,954
Packers,0,0,0,0,136,24.1,1059
Oilers,0,0,0,0,94,21.2,937
Colts,0,0,0,0,140,24.4,1081
Chiefs,0,0,0,0,136,25.4,1098
Rams,0,0,0,0,112,25.2,1011
Raiders,0,0,0,0,108,21.6,1077
Dolphins,0,0,0,0,107,20.2,1061
Vikings,0,0,0,0,135,25.4,1062
Patriots,0,0,0,0,118,24.5,983
Saints,0,0,0,0,178,28.2,1104
Giants,0,0,0,0,156,26.7,1059
Jets,0,0,0,0,127,25,1080
Eagles,0,0,0,0,87,19.6,1033
Cardinals,0,0,0,0,115,21,1116
Steelers,0,0,0,0,101,20.8,1036
Chargers,0,0,0,0,101,21.1,1059
49ers,0,0,0,0,137,24.6,1082
Seahawks,0,0,0,0,129,23.4,1032
Buccaneers,0,0,0,0,126,23,1087
Redskins,0,0,0,0,144,24.6,1020
