Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Falcons,0,0,0,0,108,64.7,99,20,0
Bills,0,0,0,0,96,47.5,68,21.2,0
Bears,0,0,0,0,99,53.2,75,20.6,0
Bengals,0,0,0,0,115,53.7,109,23.6,0
Browns,0,0,0,0,127,67.6,89,19.3,0
Cowboys,0,0,0,0,144,69.9,135,26.4,0
Broncos,0,0,0,0,105,60,102,19.9,0
Lions,0,0,0,0,104,66.2,131,24.6,0
Packers,0,0,0,0,87,71.9,115,23,0
Oilers,0,0,0,0,117,60.3,62,17.2,0
Colts,0,0,0,0,104,59.1,123,24,0
Chiefs,0,0,0,0,119,65,108,22.2,0
Rams,0,0,0,0,111,60,105,22.8,0
Raiders,0,0,0,0,110,63.2,128,27.1,0
Dolphins,0,0,0,0,94,60.3,121,24.9,0
Vikings,0,0,0,0,95,60.5,89,18.4,0
Patriots,0,0,0,0,94,59.1,85,20.3,0
Saints,0,0,0,0,106,58.2,105,23.2,0
Giants,0,0,0,0,143,53.4,83,21.1,0
Jets,0,0,0,0,67,56.3,115,23.7,0
Eagles,0,0,0,0,119,59.5,65,16,0
Cardinals,0,0,0,0,109,64.1,86,20.6,0
Steelers,0,0,0,0,111,51.9,98,23.6,0
Chargers,0,0,0,0,147,60.2,86,22,0
49ers,0,0,0,0,122,58.4,113,22.7,0
Redskins,0,0,0,0,112,61.5,77,16.1,0
