Team,Rsh TD,Rec TD,Tot TD,2-PT
Cowboys,25,22,49,0
Colts,23,10,35,0
Browns,19,14,33,0
Raiders,19,21,42,0
Packers,18,12,33,0
Saints,18,12,31,0
Lions,15,17,37,0
Rams,15,18,36,0
Bengals,14,15,31,0
Chiefs,14,15,32,0
Vikings,14,9,24,0
Falcons,12,16,32,0
Jets,12,15,27,0
49ers,12,18,31,0
Dolphins,11,20,33,0
Giants,11,14,28,0
Chargers,11,23,36,0
Oilers,10,12,27,0
Steelers,10,15,28,0
Broncos,9,8,18,0
Cardinals,8,14,24,0
Redskins,8,13,26,0
Patriots,7,19,29,0
Bills,6,12,20,0
Bears,6,12,18,0
Eagles,6,13,23,0
