Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Dolphins,392,4898,12.5,46,60,14,85,254,64.8,3
49ers,353,4299,12.2,21,43,16,66,213,60.3,5
Patriots,340,4321,12.7,29,60,10,69,202,59.4,6
Chargers,339,4045,11.9,21,54,2,65,212,62.5,4
Jets,334,4032,12.1,27,41,12,83,189,56.6,6
Cowboys,319,4003,12.6,21,51,8,84,200,62.7,5
Browns,315,4018,12.8,18,56,13,72,176,55.9,6
Broncos,306,3811,12.4,22,53,9,53,184,60.1,5
Packers,305,3708,12.2,18,45,10,62,172,56.4,5
Colts,300,3615,12,16,45,9,84T,174,58,3
Bills,294,3697,12.6,22,44,11,84,156,53.1,8
Cardinals,293,3140,10.7,17,30,3,48,149,50.8,3
Vikings,290,4185,14.4,31,57,9,76,187,64.5,4
Oilers,288,3843,13.3,14,64,7,81,176,61.1,1
Bengals,287,4160,14.5,25,70,13,57,184,64.1,3
Lions,286,3107,10.9,18,37,4,73,155,54.2,6
Raiders,281,3973,14.1,27,58,17,81,186,66.2,5
Redskins,276,4109,14.9,22,67,18,71,178,64.5,3
Eagles,268,3248,12.1,19,39,8,75T,150,56,5
Seahawks,268,3424,12.8,24,47,9,72,159,59.3,6
Giants,260,3500,13.5,22,52,4,49,170,65.4,7
Chiefs,257,3122,12.2,23,38,10,70T,153,59.5,4
Falcons,246,3046,12.4,14,44,6,65,139,56.5,3
Buccaneers,245,2892,11.8,13,36,7,46,145,59.2,6
Steelers,238,2747,11.5,16,26,4,58T,142,59.7,5
Saints,232,2893,12.5,13,37,5,84,137,59,8
Bears,208,2912,14,12,45,14,85,118,56.7,5
Rams,194,2380,12.3,15,33,4,65,106,54.6,10
