Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Bears,606,2700,4.5,21,14,2,75T,166,27.4,20
Falcons,578,2524,4.4,12,11,1,48,149,25.8,12
Rams,578,2457,4.2,16,11,3,42,139,24,18
Steelers,564,2223,3.9,18,9,1,45T,124,22,14
Giants,558,2245,4,18,14,3,54T,127,22.8,11
Bengals,521,2533,4.9,24,20,6,61,135,25.9,18
Seahawks,513,2300,4.5,15,14,2,60,122,23.8,12
49ers,510,1986,3.9,16,4,0,29T,114,22.4,15
Saints,505,2074,4.1,15,13,1,50,109,21.6,15
Eagles,499,2002,4,8,7,2,50,112,22.4,13
Oilers,490,1700,3.5,13,3,1,43,103,21,15
Jets,490,1729,3.5,16,4,2,41,106,21.6,20
Raiders,475,1790,3.8,6,4,0,28T,97,20.4,18
Redskins,474,1732,3.6,23,7,2,42T,112,23.6,16
Chargers,471,1576,3.4,19,4,0,24,99,21,15
Browns,470,1650,3.5,20,6,1,47T,103,21.9,17
Lions,470,1771,3.8,13,5,2,60T,101,21.5,13
Patriots,469,1373,2.9,10,6,0,31T,78,16.6,12
Vikings,461,1738,3.8,14,9,2,60,115,25,15
Broncos,455,1678,3.7,17,7,1,42,95,20.9,12
Buccaneers,455,1863,4.1,12,11,4,59,101,22.2,21
Cowboys,447,1969,4.4,21,10,1,84T,101,22.6,18
Chiefs,432,1468,3.4,10,3,1,40T,83,19.2,11
Packers,424,1614,3.8,8,8,2,50,97,22.9,16
Bills,419,1654,4,9,7,2,42T,101,24.1,14
Cardinals,419,1787,4.3,8,12,1,44,103,24.6,19
Colts,407,1491,3.7,10,4,2,70T,77,18.9,18
Dolphins,349,1545,4.4,9,8,3,54T,84,24.1,12
