Team,INT,INT TD,INT Yds,Lng
Ravens,22,3,385,63
Jaguars,21,2,294,67
Saints,20,2,192,33
Lions,19,3,253,37
Eagles,19,1,278,59
Bills,18,1,275,63T
Rams,18,3,401,69
Chargers,18,2,302,90
Chiefs,16,0,201,62T
Steelers,16,0,184,41
Redskins,16,2,194,96
Cardinals,15,1,258,82T
Vikings,14,1,200,36T
Seahawks,14,3,212,78
Colts,13,1,215,33
Giants,13,2,161,53
Buccaneers,13,1,218,47
Titans,12,0,154,33T
Patriots,12,0,114,39T
Bengals,11,3,339,101
Packers,11,1,54,21
Texans,11,2,144,82
Jets,11,0,151,48
Panthers,10,0,78,40T
Cowboys,10,1,98,25
Broncos,10,2,237,103
49ers,10,1,185,50
Dolphins,9,1,99,30T
Falcons,8,0,108,43T
Bears,8,2,253,90
Browns,7,1,97,56
Raiders,5,0,10,8T
