Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Oilers,582,302,51.9,6.2,3601,16,26,184,31.6,52
Colts,454,270,59.5,6.9,3117,22,10,166,36.6,21
Dolphins,572,350,61.2,6.1,3485,26,13,205,35.8,29
Falcons,505,308,61,7.2,3637,27,13,180,35.6,27
Patriots,474,280,59.1,6,2845,20,13,161,34,34
Chargers,556,329,59.2,6.8,3752,17,22,192,34.5,32
Eagles,463,251,54.2,6.4,2939,22,20,155,33.5,36
Broncos,562,314,55.9,6.6,3731,21,18,181,32.2,46
Steelers,521,277,53.2,6.1,3163,16,24,163,31.3,42
Redskins,483,291,60.2,7,3387,24,17,157,32.5,31
Packers,529,290,54.8,5.5,2900,16,18,157,29.7,46
Vikings,478,310,64.8,6,2870,11,24,139,29.1,45
49ers,564,314,55.7,5.7,3197,23,19,171,30.3,44
Cardinals,495,281,56.8,6.7,3306,14,9,158,31.9,34
Bengals,457,251,54.9,6.1,2798,20,12,159,34.8,22
Buccaneers,503,300,59.6,6.5,3252,22,9,152,30.2,29
Seahawks,595,333,56,6.1,3653,16,22,193,32.4,38
Bills,582,323,55.5,6.2,3633,18,23,199,34.2,37
Raiders,457,258,56.5,6.2,2858,17,14,154,33.7,45
Chiefs,525,312,59.4,6,3151,18,21,161,30.7,35
Jets,497,296,59.6,6.5,3239,15,19,161,32.4,32
Saints,444,259,58.3,5.9,2606,22,10,145,32.7,51
Browns,541,306,56.6,5.8,3124,19,13,170,31.4,48
Cowboys,555,334,60.2,5.6,3116,14,14,176,31.7,34
Rams,488,299,61.3,7.3,3560,17,11,179,36.7,35
Lions,514,309,60.1,5.9,3020,19,19,154,30,43
Giants,514,298,58,6.1,3116,13,18,161,31.3,41
Bears,504,306,60.7,5.6,2818,12,18,163,32.3,46
