Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Patriots,215,80,13,7,106,23.7,1034
Panthers,240,98,12,7,99,22,1072
Vikings,224,93,11,7,75,21.3,1016
Rams,204,85,8,5,101,24.6,980
Chiefs,229,78,18,7,83,20.5,1047
Eagles,220,84,17,12,102,21.9,1013
Steelers,202,68,13,8,67,18.1,943
Packers,214,75,26,12,99,26.5,1029
Bills,244,84,23,13,93,20.5,1084
Redskins,220,100,16,12,127,26.3,1059
Oilers,212,71,15,5,85,21.2,983
Chargers,214,90,11,6,112,25.4,1020
Seahawks,218,81,18,10,116,23.4,1078
Saints,222,97,13,8,107,22.8,1056
Raiders,210,69,17,6,90,20.2,1016
Dolphins,199,68,32,15,93,22.4,1000
Lions,200,76,16,10,110,26.9,1031
Bears,217,101,17,10,81,20,1035
Broncos,212,92,21,10,114,25.3,1010
Browns,226,112,14,7,112,23.3,1082
Giants,213,89,21,14,120,24,1037
Colts,212,85,14,7,92,22,1016
Bengals,243,107,15,8,117,24.2,1127
Jaguars,222,107,16,10,121,24,1030
Falcons,231,95,28,18,96,23.8,1084
Buccaneers,211,93,7,4,104,23.2,1031
Cowboys,216,97,19,8,113,25.6,1001
Jets,225,75,14,9,123,23.4,1066
49ers,224,85,23,9,57,16.4,999
Cardinals,203,90,8,3,105,20.9,995
