Team,Rsh TD,Rec TD,Tot TD,2-PT
Saints,23,23,50,1
Cowboys,18,22,42,0
Titans,18,14,32,0
Jaguars,18,21,42,3
Rams,17,28,51,0
Patriots,16,32,49,2
Panthers,15,22,39,1
Vikings,15,25,41,2
49ers,15,15,31,0
Ravens,14,20,40,1
Bears,13,13,30,1
Packers,13,25,39,1
Raiders,13,23,36,2
Jets,13,19,32,1
Falcons,12,21,34,0
Bills,12,16,29,0
Chiefs,12,26,39,0
Steelers,12,29,43,2
Browns,11,15,27,1
Colts,11,13,25,0
Lions,10,29,44,2
Chargers,10,28,42,0
Redskins,10,27,39,0
Eagles,9,38,49,6
Broncos,8,19,29,2
Texans,8,28,38,2
Buccaneers,8,26,35,2
Bengals,6,25,34,0
Giants,6,20,28,1
Cardinals,6,21,28,1
Dolphins,4,24,29,1
Seahawks,4,34,42,2
