Team,FF,FR,FR TD
Steelers,7,4,1
Eagles,6,4,0
Cowboys,4,1,0
Colts,4,2,1
Jaguars,4,4,0
Commanders,3,3,0
Bills,2,1,0
Bears,2,0,0
Titans,2,1,0
Texans,2,1,0
Chiefs,2,2,0
Jets,2,1,0
Cardinals,2,2,1
Seahawks,2,2,0
Buccaneers,2,2,0
Falcons,1,1,0
Ravens,1,1,0
Panthers,1,0,0
Bengals,1,1,0
Browns,1,1,0
Broncos,1,0,0
Packers,1,1,0
Rams,1,0,0
Dolphins,1,1,0
Vikings,1,0,0
Patriots,1,1,0
Saints,1,1,0
Giants,1,0,0
Lions,0,0,0
Raiders,0,0,0
Chargers,0,1,0
49ers,0,0,0
