Team,INT,INT TD,INT Yds,Lng
Cowboys,5,1,62,32T
49ers,4,0,61,28
Bills,3,0,16,13
Saints,3,0,5,5
Jets,3,0,0,0
Buccaneers,3,1,22,14T
Falcons,2,0,3,3
Packers,2,1,35,37T
Jaguars,2,0,0,0
Cardinals,2,0,36,35
Ravens,1,0,36,36
Panthers,1,0,11,11
Bengals,1,0,20,20
Browns,1,0,0,0
Broncos,1,0,0,0
Lions,1,1,50,50T
Titans,1,0,10,10
Texans,1,0,0,0
Colts,1,0,34,34
Dolphins,1,0,0,0
Vikings,1,0,0,0
Patriots,1,0,0,0
Eagles,1,1,70,70T
Steelers,1,1,30,30T
Chargers,1,0,9,9
Seahawks,1,1,40,40T
Commanders,1,0,3,3
Bears,0,0,0,0
Chiefs,0,0,0,0
Rams,0,0,0,0
Raiders,0,0,0,0
Giants,0,0,0,0
