Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Texans,27,14,0,0,13,23.6,114
Saints,26,6,1,1,9,22,115
Buccaneers,27,12,0,0,7,21.2,114
Cowboys,26,6,6,4,10,22.7,111
Rams,18,4,0,0,11,23.9,100
Bengals,28,13,0,0,23,29.9,142
Browns,29,6,1,0,5,12.2,107
Patriots,23,8,1,0,12,21.8,122
Ravens,33,17,5,2,5,13.2,129
Steelers,29,11,3,1,15,21.7,147
Chargers,22,10,2,1,15,27.8,128
Panthers,26,9,0,0,17,28.8,122
Giants,23,10,2,1,17,28.8,115
Chiefs,27,8,5,1,9,17.3,134
Eagles,25,11,5,2,5,16.1,133
Bills,20,8,1,1,7,16.3,92
Bears,31,17,3,2,13,19.7,128
Lions,25,10,2,1,13,27.1,129
Falcons,23,8,3,0,13,24.5,119
Packers,28,9,6,4,23,31.1,148
Titans,30,9,3,3,6,12.5,129
Colts,31,12,5,3,12,19.7,148
Jaguars,25,6,7,3,11,22.9,133
Vikings,31,12,2,2,24,29.6,143
Cardinals,24,11,1,1,17,30.9,132
Broncos,21,8,2,2,16,30.8,121
Jets,31,14,0,0,16,24.2,151
49ers,29,12,5,2,12,37.5,139
Commanders,26,8,3,2,14,29.2,120
Seahawks,28,17,4,2,13,19.4,142
Dolphins,30,16,3,1,27,41.5,147
Raiders,24,12,4,3,15,26.3,132
