Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Panthers,37,45,82.2,2_2,14_14,12_11,10_7,0_0,0_0,53,0
Colts,36,40,90,1_1,11_11,9_8,14_11,0_0,0_0,52,1
Cowboys,32,36,88.9,1_1,13_13,13_12,7_5,0_0,0_0,52,1
Oilers,32,38,84.2,0_0,7_7,16_14,12_10,0_0,0_0,56,1
Jaguars,30,36,83.3,2_2,9_9,14_12,8_5,0_0,0_0,53,0
49ers,30,34,88.2,0_0,16_16,8_7,10_7,0_0,0_0,49,0
Chargers,29,36,80.6,0_0,13_11,8_8,12_7,0_0,0_0,53,1
Seahawks,28,34,82.4,0_0,13_11,7_7,11_8,0_0,0_0,54,0
Patriots,27,35,77.1,1_1,10_9,8_8,14_8,0_0,0_0,50,1
Redskins,26,32,81.2,2_2,13_13,7_7,7_2,0_0,0_0,53,1
Eagles,25,29,86.2,0_0,11_10,9_8,9_7,0_0,0_0,46,1
Buccaneers,25,32,78.1,2_2,8_7,11_8,8_7,0_0,0_0,50,0
Bills,24,29,82.8,0_0,6_5,14_12,8_7,0_0,0_0,48,0
Raiders,24,31,77.4,0_0,11_9,11_10,8_5,0_0,0_0,47,1
Giants,24,27,88.9,2_2,10_10,9_9,6_3,0_0,0_0,46,0
Bears,23,30,76.7,0_0,4_4,9_6,17_13,0_0,0_0,49,0
Bengals,23,28,82.1,1_1,7_7,11_10,9_5,0_0,0_0,49,1
Cardinals,23,31,74.2,1_1,15_13,10_6,5_3,0_0,0_0,49,2
Steelers,23,30,76.7,0_0,12_10,10_8,7_5,0_0,0_0,49,3
Falcons,22,29,75.9,0_0,5_5,11_9,8_7,0_0,0_0,54,1
Vikings,22,29,75.9,0_0,8_8,14_11,7_3,0_0,0_0,44,1
Broncos,21,28,75,2_2,8_8,5_4,10_6,0_0,0_0,51,0
Packers,21,27,77.8,0_0,6_6,11_9,9_5,0_0,0_0,53,0
Rams,21,25,84,1_1,11_11,5_4,7_4,0_0,0_0,50,0
Saints,21,25,84,0_0,4_4,10_9,7_5,0_0,0_0,54,1
Ravens,19,25,76,0_0,8_8,6_5,10_5,0_0,0_0,50,0
Dolphins,18,29,62.1,1_1,7_7,11_7,8_3,0_0,0_0,44,0
Chiefs,17,24,70.8,1_1,8_7,7_5,7_4,0_0,0_0,45,2
Jets,17,24,70.8,0_0,9_9,7_6,8_2,0_0,0_0,46,0
Lions,12,17,70.6,0_0,4_4,5_4,5_3,0_0,0_0,51,1
