Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Panthers,37,82.2,34,97.1,1,1
Colts,36,90,27,100,1,0
Cowboys,32,88.9,24,96,0,0
Oilers,32,84.2,35,100,0,0
Jaguars,30,83.3,27,100,0,0
49ers,30,88.2,40,100,0,0
Chargers,29,80.6,31,100,0,1
Seahawks,28,82.4,27,100,0,1
Patriots,27,77.1,39,92.9,0,1
Redskins,26,81.2,40,100,0,0
Eagles,25,86.2,40,100,2,0
Buccaneers,25,78.1,18,94.7,0,1
Bills,24,82.8,33,100,1,0
Raiders,24,77.4,36,100,0,0
Giants,24,88.9,22,100,0,2
Bears,23,76.7,26,100,0,0
Bengals,23,82.1,41,100,1,0
Cardinals,23,74.2,29,93.6,0,0
Steelers,23,76.7,37,100,1,0
Falcons,22,75.9,31,100,0,0
Vikings,22,75.9,30,100,0,1
Broncos,21,75,46,100,0,0
Packers,21,77.8,51,96.2,1,3
Rams,21,84,30,96.8,0,2
Saints,21,84,18,100,0,0
Ravens,19,76,34,97.1,0,0
Dolphins,18,62.1,35,97.2,0,0
Chiefs,17,70.8,34,100,1,0
Jets,17,70.8,26,96.3,0,0
Lions,12,70.6,36,100,0,0
