Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Christian Okoye,1480,370,12,3,1,59,77,20.8,8
Barry Sanders,1470,280,14,12,0,34,80,28.6,9
Eric Dickerson,1311,314,7,2,0,21,77,24.5,10
Neal Anderson,1275,274,11,7,3,73,65,23.7,5
Dalton Hilliard,1262,344,13,5,1,40,67,19.5,6
Thurman Thomas,1244,298,6,5,0,38,68,22.8,7
James Brooks,1239,221,7,7,3,65,59,26.7,9
Bobby Humphrey,1151,294,7,5,1,40,63,21.4,4
Greg Bell,1137,272,15,7,3,47,65,23.9,6
Roger Craig,1054,271,6,3,0,27,54,19.9,3
Ottis Anderson,1023,325,14,4,0,36,62,19.1,2
Bo Jackson,950,173,4,6,4,92,37,21.4,1
Herschel Walker,915,250,7,5,1,47,52,20.8,5
Gerald Riggs,834,201,4,4,3,58,40,19.9,3
John Stephens,833,244,7,5,0,35,57,23.4,2
Brent Fullwood,821,204,5,3,0,38,60,29.4,4
Tim Worley,770,195,5,3,0,38,34,17.4,9
Johnny Hector,702,177,3,2,0,24,43,24.3,1
John Settle,689,179,3,2,0,20,41,22.9,1
Marion Butts,683,170,9,3,2,50,38,22.4,2
Sammie Smith,659,200,6,2,0,25,40,20,6
Eric Metcalf,633,187,6,3,1,43,36,19.2,4
Curt Warner,631,194,3,4,0,34,39,20.1,7
Randall Cunningham,621,104,4,4,1,51,34,32.7,11
Merril Hoge,621,186,8,3,0,31,43,23.1,2
Lars Tate,589,167,8,3,2,48,39,23.4,2
Rick Fenney,588,151,4,1,0,25,40,26.5,4
Anthony Toney,582,172,3,2,1,44,31,18,4
Earnest Byner,580,134,7,2,0,24,36,26.9,0
Bob Perryman,562,150,2,0,0,18,37,24.7,2
Larry Kinnebrew,533,131,6,2,0,25,36,27.5,2
Alonzo Highsmith,531,128,4,2,0,25,34,26.6,6
Tim Spencer,521,134,3,0,0,15,24,17.9,2
Earl Ferrell,502,149,6,1,1,44,33,22.2,1
John L. Williams,499,146,1,2,0,21,29,19.9,1
