Player,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Lew Barnes,20.5,2,41,0,2,0,21,0,0
Walter Stanley,13.8,36,496,0,8,1,74,5,3
Ernie Jones,13,1,13,0,0,0,13,0,0
Clarence Verdin,12.9,23,296,1,4,2,49,5,1
Dave Meggett,12.6,46,582,1,7,2,76,14,4
Donnell Woolford,12,1,12,0,0,0,12,0,0
Vai Sikahema,11.7,37,433,0,5,1,53,13,1
Scott Schwedes,11.7,18,210,1,1,1,70,3,2
John Taylor,11.6,36,417,0,5,0,37,20,1
Willie Drewrey,11,20,220,0,2,1,55,2,0
Darrell Green,11,1,11,0,0,0,11,0,0
Mike Harden,11,1,11,0,0,0,11,0,0
Jason Johnson,11,2,22,0,0,0,13,0,0
Deion Sanders,11,28,307,1,2,1,68,7,1
Tim Brown,10.8,4,43,0,1,0,29,0,1
Bobby Joe Edmonds,10.5,16,168,0,1,0,20,4,0
Dana Brinson,10.2,11,112,0,1,1,52,0,2
Leo Lewis,10.1,44,446,0,3,2,65,27,4
Gerald McNeil,10.1,49,496,0,9,3,49,15,0
Henry Ellard,10,2,20,0,0,0,10,0,0
Brett Perriman,10,1,10,0,0,0,10,0,0
Andre Rison,10,2,20,0,0,0,12,3,0
Vance Johnson,9.8,12,118,0,1,0,34,6,0
Cliff Hicks,9.8,4,39,0,0,0,15,3,0
Richard Carey,9.7,3,29,0,0,0,13,2,1
Joe Johnson,9.5,21,200,0,1,0,38,18,3
Darryl Henley,9.5,28,266,0,3,0,25,19,1
Troy Stradford,9.2,14,129,0,0,0,19,5,1
Anthony Edwards,9.1,7,64,0,1,0,28,5,2
Dave Hollis,9.1,18,164,0,1,0,21,7,1
Jo-Jo Townsell,9.1,33,299,0,4,0,30,12,3
Don Griffin,9,1,9,0,0,0,9,0,0
Irving Fryar,8.9,12,107,0,1,0,20,1,2
Henry Williams,8.9,30,267,0,2,0,24,7,0
Mark Green,8.8,16,141,0,1,0,24,5,0
Mickey Sutton,8.8,31,273,0,1,0,26,10,2
Erroll Tucker,8.7,19,165,0,1,0,25,4,1
Sammy Martin,8.6,19,164,0,2,0,28,2,0
Ricky Nattiel,8.6,9,77,0,1,0,38,0,1
Brian Jordan,8.5,4,34,0,0,0,15,0,1
Phil McConkey,8.3,15,124,0,1,0,20,15,2
Jeff Query,8.2,30,247,0,0,0,15,7,0
Stefon Adams,8.2,19,156,0,0,0,15,5,0
Derrick Shepard,8.1,31,251,1,1,1,56,2,2
Kelvin Martin,8,4,32,0,0,0,12,5,0
Pete Mandley,8,19,151,0,0,0,19,2,1
Rod Harris,7.3,27,196,0,1,0,20,7,3
James Jefferson,7.2,12,87,0,0,0,19,10,1
Rod Woodson,7.1,29,207,0,1,0,20,2,1
LeRoy Irvin,7,1,7,0,0,0,7,2,0
Flip Johnson,7,1,7,0,0,0,7,0,0
Mike Martin,7,17,119,0,0,0,17,5,1
Floyd Turner,7,1,7,0,0,0,7,0,0
Naz Worthen,7,19,133,0,0,0,17,5,1
Mel Gray,6.9,11,76,0,0,0,15,2,0
Ken Bell,6.8,21,143,0,1,0,24,3,5
Louis Lipps,6.8,4,27,0,0,0,9,0,0
Dennis McKinnon,6.7,10,67,0,0,0,17,3,2
Kenny Johnson,6.4,19,122,0,0,0,19,21,3
Bobby Futrell,6.3,12,76,0,0,0,15,2,1
Darryl Usher,6.2,4,25,0,0,0,11,0,0
Antonio Gibson,6,2,12,0,0,0,7,0,0
Maurice Hurst,6,1,6,0,0,0,6,0,0
Ricky Sanders,6,2,12,0,0,0,7,2,0
Charles Washington,6,1,6,0,0,0,6,0,0
Lonzell Hill,5.9,7,41,0,0,0,13,0,0
Wayne Walker,5.2,6,31,0,0,0,13,4,1
Kendal Smith,4.5,12,54,0,0,0,15,2,0
Derek Hill,4.4,5,22,0,0,0,12,0,0
Ira Hillary,3.2,6,19,0,0,0,10,4,1
Brian Davis,3,1,3,0,0,0,3,0,0
Terry Greer,3,1,3,0,0,0,3,0,0
Emile Harry,3,2,6,0,0,0,7,0,0
Chris Woods,3,2,6,0,0,0,11,0,0
Bobby Morse,2.9,10,29,0,0,0,16,1,0
Anthony Carter,2,1,2,0,0,0,2,0,0
Tom Waddle,2,1,2,0,0,0,2,0,0
Cornell Burbage,1.7,3,5,0,0,0,5,5,0
Anthony Allen,1.5,2,3,0,0,0,3,0,0
Darren Carrington,0,1,0,0,0,0,0,0,1
Cedric Figaro,0,1,0,0,0,0,0,0,0
Lester Lyles,0,1,0,0,0,0,0,0,1
Martin Mayhew,0,1,0,0,0,0,0,0,1
Tim McKyer,0,1,0,0,0,0,0,0,1
Bill Romanowski,0,1,0,0,0,0,0,0,1
Kevin Ross,0,2,0,0,0,0,0,0,1
Glen Kozlowski,-0.5,4,-2,0,0,0,4,0,1
Ernest Gibson,-1,1,-1,0,0,0,-1,0,0
