Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Randall Cunningham,53.2,51.7,310,6,91,319,3,1,3,0,1,1,9,0,0
Tom Tupa,46.7,39.8,239,6,51,280,2,1,0,0,1,4,41,0,0
Rich Camarillo,43.4,37.5,2848,76,58,3298,21,2,9,6,17,42,330,0,0
Greg Montgomery,43.2,37.3,2091,58,63,2422,15,7,11,7,7,24,191,0,2
Jim Arnold,43.2,36.4,2985,83,64,3538,14,6,9,9,12,46,373,0,1
Sean Landeta,43.1,37.8,2643,70,71,3019,19,6,13,7,15,29,236,0,0
Ralf Mojsiejenko,43,33.9,2100,63,74,2663,21,5,9,9,5,34,383,0,1
Rohn Stark,42.9,33.3,2634,80,64,3392,14,1,10,10,7,51,558,1,1
Reggie Roby,42.4,35.9,2082,59,58,2458,18,2,11,6,13,26,256,0,1
Scott Fulhage,41.3,33.7,2832,85,65,3472,24,8,4,9,20,43,460,0,1
Harry Newsome,41.1,34.5,2827,83,57,3368,15,1,8,9,19,45,361,0,1
Mike Saxon,40.9,35.2,2779,81,56,3233,19,8,11,6,17,37,334,1,2
Don Bracken,40.6,31,2046,66,63,2682,17,3,11,11,11,30,416,0,0
Barry Helton,40.5,31.7,1745,56,56,2226,13,7,3,6,4,35,361,0,1
Jeff Gossett,40.5,33.9,2270,67,60,2711,12,0,10,7,9,41,301,1,0
Mike Horan,40.4,34.3,2641,77,63,3111,24,16,10,5,18,28,370,0,0
Kelly Goodburn,40.1,33.8,2263,67,54,2688,25,9,3,5,10,40,325,0,0
Hank Ilesic,40.1,32.9,2501,76,64,3049,11,12,10,7,8,39,408,0,0
Lee Johnson,40.1,31.2,1903,63,62,2446,14,6,6,11,5,33,323,0,2
Ruben Rodriguez,39.9,33.4,2501,76,59,2995,17,2,12,8,12,41,334,0,1
Bucky Scribner,39.8,33.4,2404,72,55,2864,16,16,9,8,7,32,300,0,0
Tommy Barnhardt,39.6,35,1925,55,56,2179,17,4,8,4,11,28,174,0,0
Maury Buford,39.5,33.4,2402,72,60,2844,21,17,11,9,5,30,262,0,0
John Kidd,39.4,33.2,2157,67,60,2564,15,7,9,9,15,25,227,0,2
Chris Mohr,39.4,32.8,2759,86,58,3311,10,4,11,3,12,54,492,0,2
John Teltschik,39.4,35.3,2011,57,58,2246,12,1,10,3,14,29,175,0,0
Joe Prokop,39.4,35.5,3089,87,76,3426,29,7,20,4,22,34,257,1,0
Bryan Wagner,39.4,33.8,3279,97,60,3817,32,9,20,6,13,49,418,0,0
Dale Hatcher,38.8,32.6,2379,74,54,2834,15,6,6,7,20,34,315,1,1
Jeff Feagles,38,31.8,2006,64,64,2392,13,6,11,2,6,38,346,0,1
George Winslow,37.2,31.6,505,16,50,595,4,0,3,1,5,7,70,0,0
Rick Tuten,36.6,33.6,235,7,45,256,1,0,3,1,2,1,1,0,0
John Elway,34,14,14,1,34,34,0,0,0,1,0,0,0,0,0
Max Runager,33.4,30.5,518,17,52,568,5,2,4,1,4,6,30,0,0
Lewis Colbert,33.2,27.9,223,8,46,266,0,2,0,0,2,4,43,0,0
Jim Breech,29,19,38,2,32,58,1,1,0,1,0,0,0,0,0
Roger Ruzek,28,28,28,1,28,28,0,0,0,0,0,1,0,0,0
Gary Kubiak,21.5,21.5,43,2,29,43,1,0,2,0,0,0,0,0,0
