Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Rich Karlis,31,39,79.5,3/3,14/15,5/6,8/12,0/0,0/0,51,1
Mike Cofer,29,36,80.6,3/3,8/8,8/9,10/15,0/0,0/0,47,2
Chip Lohmiller,29,40,72.5,2/2,11/11,13/15,3/11,0/0,0/0,48,0
David Treadwell,27,33,81.8,3/3,13/14,8/8,3/7,0/0,0/0,46,0
Tony Zendejas,25,37,67.6,1/1,8/9,9/14,5/11,0/0,0/0,52,1
Nick Lowery,24,33,72.7,1/1,6/6,10/14,6/9,0/0,0/0,50,2
Greg Davis,23,34,67.6,0/0,6/6,8/12,7/14,0/0,0/0,52,1
Jeff Jaeger,23,34,67.6,1/1,8/10,8/9,5/12,0/0,0/0,50,1
Mike Lansford,23,30,76.7,1/1,7/8,7/7,8/10,0/0,0/0,48,1
Scott Norwood,23,30,76.7,0/0,5/6,8/9,10/15,0/0,0/0,48,0
Donald Igwebuike,22,28,78.6,0/0,9/9,6/6,5/10,0/0,0/0,53,1
Chris Jacke,22,28,78.6,1/1,9/9,4/6,7/9,0/0,0/0,52,1
Gary Anderson,21,30,70,2/2,5/5,5/8,9/15,0/0,0/0,49,0
Dean Biasucci,21,27,77.8,2/2,6/6,9/10,3/5,0/0,0/0,55,0
Raul Allegre,20,26,76.9,0/0,6/6,8/9,5/9,0/0,0/0,52,0
Morten Andersen,20,29,69,0/0,7/8,10/11,3/6,0/0,0/0,49,1
Eddie Murray,20,21,95.2,0/0,3/3,8/9,8/8,0/0,0/0,50,0
Pete Stoyanovich,19,26,73.1,1/1,8/8,5/6,4/8,0/0,0/0,59,1
Al Del Greco,18,26,69.2,0/0,7/7,5/6,5/11,0/0,0/0,50,1
Chris Bahr,17,25,68,0/0,6/6,6/9,4/6,0/0,0/0,53,1
Matt Bahr,16,24,66.7,0/0,5/5,6/8,4/9,0/0,0/0,50,1
Kevin Butler,15,19,79,0/0,6/6,6/7,3/5,0/0,0/0,46,1
Norm Johnson,15,25,60,1/1,6/7,3/4,4/8,0/0,0/0,50,1
Paul McFadden,15,20,75,1/1,4/4,6/7,2/6,0/0,0/0,54,0
Pat Leahy,14,21,66.7,1/1,6/7,3/4,4/8,0/0,0/0,46,2
Jason Staurovsky,14,17,82.4,0/0,4/4,5/7,4/5,0/0,0/0,50,0
Luis Zendejas,14,24,58.3,1/1,3/3,4/6,6/12,0/0,0/0,47,0
Roger Ruzek,13,22,59.1,2/2,3/4,6/10,2/5,0/0,0/0,46,3
Jim Breech,12,14,85.7,0/0,9/9,3/4,0/1,0/0,0/0,38,0
Bjorn Nittmo,9,12,75,0/0,4/5,5/5,0/2,0/0,0/0,39,0
Steve DeLine,3,7,42.9,0/0,0/0,1/2,2/5,0/0,0/0,49,1
Jim Gallery,2,6,33.3,0/0,1/1,0/1,1/4,0/0,0/0,47,1
Teddy Garcia,1,5,20,0/0,0/0,1/4,0/0,0/0,0/0,35,0
Chris Miller,1,1,100,0/0,1/1,0/0,0/0,0/0,0/0,25,0
Lee Johnson,0,0,0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
