Player,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Irving Fryar,47,1,47,0,1,1,47,0,0
Louis Clark,31,1,31,0,1,0,31,0,0
Herschel Walker,28.8,13,374,1,9,1,93,0,1
Bobby Morse,27.8,10,278,1,6,1,99,0,0
Rod Woodson,27.3,36,982,1,23,5,84,0,2
Keith Byars,27,1,27,0,1,0,27,0,0
Mel Gray,26.7,24,640,0,19,1,57,0,0
Willie Drewrey,26,1,26,0,1,0,26,0,0
Marc Logan,25.5,24,613,1,17,1,97,0,1
John Taylor,25.5,2,51,0,2,0,27,0,0
Anthony Miller,25.4,21,533,1,15,1,91,0,0
Darren Carrington,25.3,6,152,0,3,1,68,0,0
James Dixon,25.1,47,1181,1,31,3,97,0,2
Joe Johnson,24.9,21,522,1,12,3,99,0,0
Dwight Stone,24.7,7,173,0,4,1,73,0,1
Sammy Martin,24.3,24,584,0,18,0,38,0,1
Vance Mueller,24,5,120,0,2,1,49,0,0
Kim Phillips,24,1,24,0,1,0,24,0,0
Dennis Gentry,23.8,28,667,0,16,2,63,0,0
Leonard Harris,23.6,14,331,0,7,1,63,0,1
Barry Sanders,23.6,5,118,0,2,1,43,0,0
James Jefferson,23.2,22,511,1,10,1,97,0,1
Paul Palmer,23.2,11,255,0,4,1,62,0,0
Eric Metcalf,23.2,31,718,0,17,3,49,0,1
George Wonsley,23,3,69,0,1,1,40,0,0
Ronnie Harmon,22.7,18,409,0,10,2,49,0,1
Darrin Nelson,22.6,14,317,0,10,0,32,0,0
Naz Worthen,22.6,5,113,0,4,0,27,0,0
Tony Baker,22.3,11,245,0,6,0,33,0,0
Brent Fullwood,22.1,11,243,0,8,0,35,0,2
Don Beebe,22.1,16,353,0,7,1,85,0,1
Rodney Rice,22,11,242,0,5,1,46,0,0
Mark Green,21.7,11,239,0,7,0,37,0,0
D.J. Dozier,21.5,12,258,0,7,1,63,0,1
Bobby Humphrey,21.5,4,86,0,3,0,29,0,0
Timmie Ware,21.5,4,86,0,2,0,29,0,1
James Pruitt,21.4,12,257,0,7,1,49,0,2
Dave Meggett,21.4,27,577,0,15,1,43,0,1
Thomas Sanders,21.4,23,491,1,10,1,96,0,1
Tim Brown,21,3,63,0,2,0,25,0,0
Cedric Figaro,21,1,21,0,1,0,21,0,0
Larry Griffin,21,1,21,0,1,0,21,0,0
A.J. Johnson,21,24,504,0,14,0,38,0,0
James Wilder,21,2,42,0,1,0,23,0,0
Jarvis Williams,21,1,21,0,1,0,21,0,0
Jeff Query,20.8,6,125,0,3,0,28,0,0
Deion Sanders,20.7,35,725,0,19,2,72,0,0
Marvin Allen,20.7,6,124,0,3,0,29,0,0
Ron Brown,20.6,47,968,0,20,2,74,0,3
Spencer Tillman,20.6,10,206,0,3,1,60,0,0
Gene Atkins,20.4,12,245,0,9,0,32,0,1
Vai Sikahema,20.3,43,874,0,23,1,52,0,1
George Thomas,20.3,7,142,0,3,0,28,0,0
Stanford Jennings,20.2,26,525,0,15,0,33,0,0
Terrence Flagler,20.1,32,643,0,16,2,41,0,3
Ken Bell,20.1,30,602,0,16,0,33,0,0
Bruce Alexander,20,5,100,0,2,0,25,0,0
Dalton Hilliard,20,1,20,0,1,0,20,0,0
Phil McConkey,20,2,40,0,1,0,21,0,0
Rod Harris,19.9,19,378,0,9,0,39,0,1
Todd McNair,19.8,13,257,0,6,0,37,0,0
Carl Bland,19.7,13,256,0,6,0,37,0,0
Robert Delpino,19.6,17,334,0,10,0,30,0,0
Paul Frazier,19.6,8,157,0,4,0,29,0,0
Derrick Shepard,19.6,27,529,0,15,0,32,0,0
Clarence Verdin,19.5,19,371,0,10,0,29,0,0
Steve Tasker,19.5,2,39,0,1,0,20,0,0
Bobby Joe Edmonds,19.4,14,271,0,4,1,43,0,0
Stefon Adams,19.3,22,425,0,11,0,37,0,2
Albert Bentley,19.3,17,328,0,10,0,29,0,1
Jo-Jo Townsell,19.2,34,653,0,14,3,69,0,1
Keith Jones,19.1,23,440,0,11,0,29,0,0
Eric Ball,19,1,19,0,0,0,19,0,0
Anthony Carter,19,1,19,0,0,0,19,0,0
Ron Davenport,19,1,19,0,0,0,19,0,0
Jamie Mueller,19,1,19,0,0,0,19,0,0
Keith Woodside,19,2,38,0,1,0,23,0,0
Erroll Tucker,19,23,436,0,11,0,37,0,1
Andre Rison,18.8,8,150,0,3,0,30,0,0
Darryl Usher,18.7,27,506,0,11,0,33,0,1
Darryl Clack,18.7,3,56,0,1,0,24,0,1
Elroy Harris,18.6,18,334,0,7,0,25,0,1
Cornell Burbage,18.3,3,55,0,1,0,22,0,0
Kenny Gamble,18.3,3,55,0,1,0,23,0,0
Mark Higgs,18.3,16,293,0,8,0,30,0,2
Travis Curtis,18,1,18,0,0,0,18,0,0
Danny Copeland,17.9,26,466,0,7,0,36,0,0
Lorenzo Hampton,17.8,17,303,0,7,0,34,0,1
Lorenzo White,17.8,17,303,0,5,0,29,0,0
Henry Williams,17.8,14,249,0,5,0,28,0,1
Kenny Johnson,17.7,21,372,0,9,0,39,0,1
Ernie Jones,17.7,7,124,0,3,0,27,0,1
Jamie Holland,17.6,29,510,0,12,0,34,0,0
Richard Carey,17.3,6,104,0,2,0,23,0,0
Kenneth Davis,17.3,3,52,0,1,0,20,0,0
Kitrick Taylor,17.3,3,52,0,1,0,22,0,0
Bobby Humphery,17.2,24,414,0,10,1,52,0,4
Tracy Johnson,17.2,13,224,0,5,0,27,0,1
Donnie Elder,17.1,40,685,0,16,0,30,0,2
Phil Epps,17.1,9,154,0,4,1,43,0,0
Heath Sherman,17.1,13,222,0,5,1,45,0,2
Terry Greer,17,1,17,0,0,0,17,0,1
Undra Johnson,17,2,34,0,0,0,19,0,0
Travis McNeal,17,1,17,0,0,0,17,1,0
Frank Pillow,17,1,17,0,0,0,17,0,0
Lee Rouson,17,1,17,0,0,0,17,0,0
Chris Woods,17,1,17,0,0,0,17,0,0
Titus Dixon,16.8,4,67,0,1,0,21,0,0
Vince Workman,16.6,33,547,0,8,1,46,0,1
Dave Hollis,16.5,15,247,0,4,0,30,0,0
William Howard,16.4,5,82,0,0,0,19,0,0
Greg Paterra,16.1,8,129,0,2,0,31,0,1
Sylvester Stamps,16.1,9,145,0,3,0,36,0,2
Willie Gault,16,1,16,0,0,0,16,0,0
James Primus,16,1,16,0,0,0,16,0,0
Ira Hillary,15.9,14,223,0,1,0,29,0,0
Matt Suhey,15.5,6,93,0,2,0,21,0,1
Bob Mrosko,15.3,3,46,0,0,0,19,0,0
Gerald McNeil,15.2,4,61,0,1,0,21,0,0
Mark Ingram,15.1,22,332,0,8,0,29,0,2
Alfred Anderson,15,5,75,0,2,0,36,0,3
Aundray Bruce,15,1,15,0,0,0,15,0,0
Lydell Carr,15,1,15,0,0,0,15,0,0
Nuu Faaola,15,2,30,0,0,0,17,0,0
Herman Fontenot,15,2,30,0,1,0,20,0,0
Leo Lewis,15,2,30,0,0,0,15,0,0
Ricky Sanders,14.9,9,134,0,2,0,29,0,0
Bobby Futrell,14.5,4,58,0,1,0,22,0,0
Ivy Joe Hunter,14.5,4,58,0,0,0,19,0,0
Jason Johnson,14.3,3,43,0,0,0,19,0,1
Kevin Harmon,14,6,84,0,0,0,19,0,0
Carl Painter,14,1,14,0,0,0,14,0,0
Willard Reaves,14,6,84,0,1,0,22,0,0
Tom Rehder,14,1,14,0,0,0,14,0,0
Jerry Woods,14,2,28,0,0,0,15,0,1
Mike Oliphant,13.8,5,69,0,1,0,28,0,0
Patrick Egu,13,2,26,0,1,0,22,0,1
Lonzell Hill,13,1,13,0,0,0,13,0,0
Mike Hinnant,13,1,13,0,0,0,13,0,0
Brian Kinchen,13,2,26,0,0,0,17,0,0
Allen Rice,13,1,13,0,0,0,13,0,0
Kendal Smith,13,5,65,0,0,0,19,0,1
Tony Woods,13,1,13,0,0,0,13,0,1
Rick Fenney,12,1,12,0,0,0,12,0,0
Vernon Joines,12,1,12,0,0,0,12,0,0
Glen Kozlowski,12,1,12,0,0,0,12,0,0
David Tate,12,1,12,0,0,0,12,0,0
Mike McDonald,11,2,22,0,0,0,12,0,0
Marvin Washington,11,1,11,0,0,0,11,0,0
Walter Stanley,10.6,9,95,0,0,0,19,0,0
Keith Henderson,10.5,2,21,0,0,0,13,0,0
Keith Jones,10.5,4,42,0,1,0,25,0,0
Weegie Thompson,10.2,4,41,0,0,0,15,0,0
Dave Ahrens,10,1,10,0,0,0,10,0,0
Stephen Braggs,10,2,20,0,0,0,18,0,0
Chris Mandeville,10,1,10,0,0,0,10,0,0
Butch Rolle,10,2,20,0,0,0,14,0,0
Mel Bratton,9.5,2,19,0,0,0,10,0,0
Milford Hodge,9.5,2,19,0,0,0,11,0,0
Steve Smith,9.5,2,19,0,0,0,15,0,0
