Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Vikings,34,87.2,30,100,0,0
Chargers,34,89.5,33,100,2,2
Broncos,30,81.1,29,100,0,0
Bengals,28,84.8,24,96,0,1
Saints,28,71.8,32,100,2,0
Patriots,27,77.1,36,100,0,0
Browns,26,92.9,32,100,1,2
Chiefs,25,83.3,30,100,1,0
Bills,24,85.7,38,100,0,0
Dolphins,24,77.4,35,100,0,0
Steelers,24,82.8,32,100,0,0
Buccaneers,23,65.7,20,100,0,1
Cowboys,22,75.9,48,100,1,1
Raiders,22,78.6,31,100,0,0
Giants,22,78.6,27,96.4,0,2
Cardinals,22,73.3,21,100,0,0
Falcons,21,84,32,100,0,0
Bears,21,72.4,24,100,0,1
Eagles,21,84,33,100,1,0
Jets,20,87,26,96.3,0,0
Seahawks,20,83.3,25,96.2,1,0
Redskins,20,71.4,30,93.8,0,2
Packers,19,73.1,41,95.4,1,1
Lions,18,66.7,39,97.5,4,0
Rams,18,78.3,28,100,0,1
Oilers,16,80,18,100,0,1
Colts,16,66.7,37,100,1,1
49ers,15,75,60,96.8,1,0
