Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Cowboys,25.7,50,1284,1,34,5,87T,0,0
Browns,24.6,42,1031,1,26,6,85T,1,1
Chargers,24.1,68,1636,2,38,8,90T,0,4
Redskins,23.7,71,1685,0,45,6,86,0,2
Lions,23.6,71,1675,4,35,5,102,0,7
Rams,22.6,71,1605,0,44,3,57,0,2
Saints,22.4,82,1840,2,45,6,98T,0,4
Chiefs,22,59,1300,1,27,2,91T,0,1
Raiders,21.9,62,1358,0,35,4,55,0,1
Seahawks,21.9,67,1467,1,36,3,93T,0,2
Falcons,21.7,75,1627,0,41,5,69,0,4
Vikings,21.6,60,1296,0,34,5,61,0,3
Eagles,21.5,67,1441,1,34,3,94T,0,2
49ers,21.4,58,1244,1,28,3,96T,0,1
Bears,21.2,66,1402,0,37,3,55,1,3
Bengals,21,86,1810,0,49,3,43,0,2
Colts,20.9,60,1254,1,30,1,95T,0,4
Packers,20.9,56,1168,1,27,2,96T,0,3
Steelers,20.8,55,1141,0,31,4,71,1,4
Broncos,20.3,75,1523,0,40,2,41,1,0
Buccaneers,20.3,70,1422,0,35,3,77,0,1
Dolphins,19.6,66,1294,0,32,1,46,0,3
Jets,19.4,66,1282,0,30,3,45,0,3
Oilers,19.4,74,1436,0,32,3,44,1,4
Cardinals,18.9,57,1079,0,23,1,53,0,0
Bills,18.7,72,1345,0,30,1,42,0,6
Giants,18.2,73,1328,0,31,0,36,0,5
Patriots,17.8,63,1123,0,32,0,36,0,1
