Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Cardinals,12.5,44,550,1,10,1,76T,7,0
Jets,11.8,42,497,2,6,4,91,12,5
Vikings,11.7,36,420,1,6,1,78T,12,2
Saints,11.4,41,468,0,4,2,80,7,4
Chargers,11.3,45,508,1,4,1,81T,9,3
Browns,11.1,44,487,0,6,1,40,12,4
Redskins,11,56,615,0,8,2,73,10,1
Chiefs,10.8,32,346,1,4,2,85T,8,1
49ers,10.7,34,365,1,3,2,83T,9,1
Broncos,10.1,48,486,1,4,1,71T,4,5
Seahawks,10.1,32,322,0,3,1,40,8,2
Bears,9.7,50,484,2,4,2,94T,6,6
Lions,8.7,35,303,0,2,1,54,12,2
Bengals,8.6,34,293,0,1,0,21,9,1
Cowboys,8.6,41,353,0,2,0,38,6,3
Patriots,8.5,25,213,0,4,0,36,17,3
Buccaneers,8.3,31,257,0,4,0,22,8,2
Giants,8.2,55,448,0,4,0,37,14,5
Raiders,8.1,44,356,1,3,1,55T,7,3
Dolphins,7.8,37,290,0,4,0,31,13,8
Bills,7.5,31,232,0,1,0,23,15,3
Falcons,7.1,31,221,0,1,1,45,7,1
Packers,7,35,245,0,3,1,48,6,7
Steelers,6.8,36,244,0,1,0,20,5,3
Oilers,6.7,37,249,0,3,0,26,14,2
Rams,6.1,40,245,0,2,0,29,10,7
Eagles,5.9,34,202,0,2,0,37,24,4
Colts,5.5,38,210,0,0,0,17,12,4
