Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Falcons,21.5,79,1700,1,38,5,97T,0,3
Bears,20.9,57,1193,1,29,2,88T,0,2
Cardinals,20.9,63,1317,0,34,4,50,0,2
Saints,20.8,55,1147,0,25,3,74,0,3
49ers,20.8,55,1144,1,29,3,92T,0,3
Broncos,20.7,46,952,0,25,2,50,0,3
Chiefs,20.5,70,1437,2,32,3,95T,0,6
Rams,20.4,63,1282,1,29,4,95T,0,2
Colts,20.3,55,1115,0,31,2,45,0,4
Cowboys,20.2,64,1295,0,35,1,48,0,4
Giants,20.1,56,1128,0,28,2,49,0,3
Lions,20.1,71,1428,0,38,3,50,0,5
Vikings,20,71,1421,0,31,3,42,1,8
Raiders,19.6,60,1174,0,29,3,50,0,2
Bills,19.4,45,872,0,20,1,40,0,4
Seahawks,19.3,64,1236,0,24,2,43,0,2
Redskins,19.3,59,1139,0,24,1,54,0,1
Steelers,18.9,56,1060,0,30,0,36,0,4
Jets,18.8,65,1221,0,21,6,60,0,2
Patriots,18.8,48,901,0,17,2,43,0,1
Buccaneers,18.5,56,1037,0,22,2,40,0,2
Chargers,18.3,62,1137,0,33,1,46,0,4
Oilers,18.3,67,1225,0,25,2,62,1,3
Browns,17.6,48,846,0,17,1,44,0,1
Dolphins,17.6,54,952,0,22,0,34,0,5
Packers,17.5,59,1032,0,22,2,48,0,4
Bengals,17.3,67,1161,0,26,0,34,0,1
Eagles,16.8,66,1112,0,25,0,33,0,0
