Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Saints,94,6046,38,40.4,55,20.3,0,0,1,0
49ers,90,4970,10,11.1,76,21,0,0,0,1
Browns,85,4979,10,11.8,72,18.6,0,0,1,0
Broncos,84,4864,19,22.6,61,19.2,0,0,3,0
Redskins,79,4668,16,20.2,63,21.5,0,0,0,1
Oilers,78,4735,19,24.4,57,20.6,0,0,1,0
Cowboys,76,4311,5,6.6,65,19.6,0,1,4,0
Vikings,76,4015,6,7.9,64,18.3,0,0,1,0
Cardinals,76,4513,16,21,59,18,0,0,0,0
Seahawks,76,4643,9,11.8,67,20.6,0,0,0,1
Bears,75,4483,17,22.7,58,18.2,0,0,0,0
Dolphins,75,4244,6,8,67,18.2,0,0,2,0
Jets,75,4142,14,18.7,54,18.8,0,0,3,0
Eagles,74,4222,11,14.9,59,21.6,0,1,3,0
Colts,72,4137,10,13.9,60,17.9,0,0,1,0
Patriots,72,3879,5,6.9,63,17.9,0,0,3,0
Rams,70,3866,9,12.9,57,19.3,0,1,1,0
Steelers,70,4014,4,5.7,65,16.7,0,0,0,0
Raiders,69,4118,9,13,59,19.2,0,0,1,0
Giants,68,4005,0,0,68,21.5,0,0,0,0
Bengals,67,3627,2,3,62,18.5,0,0,2,0
Buccaneers,67,3741,3,4.5,61,20.4,0,1,2,0
Lions,66,3717,5,7.6,56,19.4,0,0,5,0
Chiefs,66,3825,9,13.6,55,23,0,0,0,1
Packers,65,3562,2,3.1,61,18.7,0,1,1,0
Chargers,60,3443,7,11.7,49,19.8,0,0,3,1
Bills,57,3220,12,21,43,15.8,0,0,0,0
Falcons,52,3005,5,9.6,44,20.8,0,0,1,1
