Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Saints,33,42,78.6,3_3,8_8,11_10,14_10,0_0,0_0,52,1
Colts,27,32,84.4,0_0,7_6,14_14,9_6,0_0,0_0,50,0
Lions,26,39,66.7,1_1,9_9,15_10,12_5,0_0,0_0,53,1
Oilers,26,32,81.2,2_2,7_7,7_5,15_11,0_0,0_0,52,2
Bengals,25,32,78.1,0_0,8_7,12_12,12_6,0_0,0_0,46,4
Cowboys,25,29,86.2,0_0,8_8,8_7,12_9,0_0,0_0,50,1
Bears,22,32,68.8,0_0,14_14,5_5,7_1,0_0,0_0,52,1
Steelers,22,29,75.9,0_0,10_8,5_4,12_8,0_0,0_0,52,1
Browns,21,31,67.7,0_0,11_11,10_5,9_5,0_0,0_0,48,1
Broncos,21,29,72.4,0_0,10_10,8_6,8_4,0_0,0_0,51,1
Packers,21,29,72.4,0_0,5_4,11_8,12_9,0_0,0_0,48,3
Chiefs,21,25,84,1_1,5_5,10_8,7_5,0_0,0_0,54,1
Giants,20,32,62.5,1_1,10_9,6_4,11_4,0_0,0_0,53,1
Jets,20,26,76.9,0_0,12_12,8_6,5_2,0_0,0_0,42,0
Raiders,19,30,63.3,0_0,6_6,14_10,10_3,0_0,0_0,48,2
Eagles,19,31,61.3,1_1,5_4,11_6,12_8,0_0,0_0,49,0
Buccaneers,19,24,79.2,0_0,3_3,8_7,11_8,0_0,0_0,50,2
Redskins,18,29,62.1,1_1,7_7,12_7,8_3,0_0,0_0,41,1
Rams,17,21,81,1_1,6_6,4_3,9_7,0_0,0_0,48,1
Seahawks,17,22,77.3,0_0,9_9,7_4,5_4,0_0,0_0,49,0
Patriots,16,28,57.1,0_0,6_6,11_6,8_3,0_0,0_0,50,0
Chargers,16,28,57.1,0_0,6_5,13_9,6_2,0_0,0_0,47,1
49ers,16,23,69.6,0_0,8_7,7_6,8_3,0_0,0_0,45,1
Vikings,14,29,48.3,0_0,12_10,6_3,9_0,0_0,0_0,51,1
Cardinals,14,27,51.8,0_0,10_7,9_4,8_3,0_0,0_0,48,2
Falcons,12,17,70.6,1_1,2_2,3_3,7_4,0_0,0_0,50,1
Bills,12,20,60,0_0,5_4,9_5,6_3,0_0,0_0,45,1
Dolphins,12,16,75,2_2,2_2,3_3,9_5,0_0,0_0,48,0
