Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Saints,456,4952,10.9,33,52,10,69,258,56.6,8
Falcons,418,4758,11.4,28,61,9,79,233,55.7,7
Steelers,411,4997,12.2,33,56,15,94,243,59.1,5
Colts,410,5062,12.4,42,78,15,80,250,61,6
Broncos,399,4779,12,40,67,11,86,227,56.9,4
Bears,396,4035,10.2,30,41,8,74,194,49,3
Dolphins,394,4066,10.3,27,41,4,50,226,57.4,7
Patriots,392,4291,11,34,46,8,69,228,58.2,4
Eagles,384,4581,11.9,27,63,13,72,218,56.8,5
Giants,383,4470,11.7,30,53,10,80,218,56.9,6
Chargers,380,4296,11.3,31,57,9,59,214,56.3,4
Lions,365,4284,11.7,22,54,11,73,210,57.5,3
Raiders,365,3456,9.5,22,30,7,77,173,47.4,7
Redskins,364,4461,12.3,18,57,20,81,186,51.1,6
Bills,363,3856,10.6,23,52,8,84T,186,51.2,8
Packers,349,4447,12.7,38,59,15,80,222,63.6,1
Ravens,344,3986,11.6,27,50,7,80,194,56.4,4
Cowboys,328,4008,12.2,37,54,12,68,205,62.5,4
Panthers,327,3828,11.7,23,43,4,51,199,60.9,3
Rams,327,3695,11.3,20,43,7,63,189,57.8,1
Jaguars,325,3451,10.6,15,43,9,63,154,47.4,2
Bengals,323,3551,11,20,35,8,81,164,50.8,7
Vikings,322,3566,11.1,17,43,7,87,171,53.1,3
Chiefs,320,3428,10.7,18,43,3,70,184,57.5,9
Cardinals,320,3990,12.5,21,58,11,81,191,59.7,5
Buccaneers,301,3623,12,21,51,9,56,162,53.8,5
Titans,299,3738,12.5,20,50,7,80,158,52.8,4
Texans,295,3460,11.7,22,49,9,76,171,58,6
Niners,292,3407,11.7,20,49,5,80,165,56.5,2
Jets,287,3206,11.2,16,40,9,74,154,53.7,3
Seahawks,287,3492,12.2,20,54,8,80,160,55.8,3
Browns,274,3678,13.4,12,56,11,81,179,65.3,0
