Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Ravens,214,75,16,11,74,19.3,993
Texans,213,82,13,3,87,21.9,950
Patriots,206,76,18,7,81,22,998
Eagles,205,82,18,8,89,22.8,978
Panthers,211,80,13,9,90,23.9,1035
49ers,226,102,7,4,140,25.6,1102
Jaguars,224,83,13,6,93,20.8,1030
Saints,194,84,10,4,91,23,1008
Broncos,236,86,16,6,101,21,1076
Giants,238,84,14,7,82,20.6,1062
Raiders,198,78,15,4,94,22.3,987
Titans,210,77,22,12,70,19.7,1031
Cardinals,219,85,15,7,90,21.2,1019
Buccaneers,195,67,10,8,102,23.9,1013
Chiefs,222,96,20,10,102,23.3,1063
Rams,220,82,14,12,91,21.5,1037
Vikings,206,80,14,3,87,21.5,993
Browns,206,93,12,9,121,24.3,1067
Bills,205,82,14,4,122,26.1,1017
Bengals,217,86,19,9,95,23.1,1038
Packers,199,82,18,12,80,21.3,987
Jets,210,84,10,2,86,20.1,1000
Seahawks,212,82,20,6,94,21.3,1020
Colts,193,80,8,3,93,22.7,1024
Steelers,214,88,21,11,95,25.8,997
Chargers,208,83,16,11,98,23.9,1025
Redskins,208,97,16,9,109,25.8,1050
Lions,198,90,8,3,99,25.4,964
Cowboys,197,77,14,9,79,23.2,1009
Dolphins,213,77,16,9,109,23.5,1088
Bears,210,85,14,10,99,22.2,1012
Falcons,213,89,25,18,95,25.7,1059
