Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Jets,420,1578,3.8,11,87,20.7
Panthers,450,1997,4.4,15,109,24.2
Dolphins,435,1835,4.2,16,88,20.2
Bengals,399,1573,3.9,12,95,23.8
Titans,402,1711,4.3,16,89,22.1
Browns,506,2314,4.6,15,120,23.7
Ravens,435,1492,3.4,8,82,18.8
Saints,435,1955,4.5,19,111,25.5
Vikings,357,1394,3.9,5,63,17.6
Patriots,398,1768,4.4,6,80,20.1
Falcons,433,1711,4,10,89,20.6
Jaguars,458,1863,4.1,12,100,21.8
Giants,423,1773,4.2,21,103,24.4
Broncos,458,2059,4.5,11,99,21.6
Packers,371,1333,3.6,5,68,18.3
Chiefs,531,2504,4.7,18,122,23
Cowboys,365,1448,4,7,74,20.3
Steelers,372,1438,3.9,7,70,18.8
Chargers,422,1884,4.5,10,112,26.5
Texans,396,1711,4.3,17,91,23
Bills,535,2501,4.7,19,134,25
Rams,500,2201,4.4,24,127,25.4
Raiders,548,2488,4.5,24,126,23
Lions,458,2025,4.4,18,95,20.7
Buccaneers,529,2531,4.8,16,129,24.4
Seahawks,428,1776,4.2,17,80,18.7
Redskins,449,1799,4,10,85,18.9
Eagles,413,1675,4.1,11,81,19.6
Bears,467,2022,4.3,14,105,22.5
Niners,426,1552,3.6,12,77,18.1
Colts,467,2024,4.3,10,106,22.7
Cardinals,402,1804,4.5,13,81,20.2
