Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Dolphins,198,69,15,8,88,20.2,968
Lions,210,85,15,10,95,20.7,1029
Browns,221,86,20,10,120,23.7,1072
Jets,219,69,19,7,87,20.7,953
Bengals,210,81,15,7,95,23.8,980
Chiefs,223,85,11,6,122,23,1062
Jaguars,209,94,17,12,100,21.8,982
Rams,209,91,12,6,127,25.4,1016
Seahawks,223,87,12,6,80,18.7,1024
Vikings,200,69,12,5,63,17.6,940
Panthers,197,70,17,9,109,24.2,976
Packers,211,76,25,10,68,18.3,948
Niners,240,88,15,6,77,18.1,1050
Buccaneers,214,86,15,9,129,24.4,1039
Bears,226,93,13,6,105,22.5,1033
Falcons,214,97,17,8,89,20.6,997
Redskins,219,87,17,4,85,18.9,1000
Broncos,218,81,16,8,99,21.6,1007
Ravens,218,80,17,7,82,18.8,991
Titans,218,89,17,12,89,22.1,1038
Raiders,216,77,14,9,126,23,1023
Giants,199,77,19,12,103,24.4,953
Eagles,221,73,30,17,81,19.6,1037
Patriots,194,72,21,10,80,20.1,941
Texans,201,79,21,9,91,23,974
Steelers,227,96,10,7,70,18.8,967
Cowboys,200,70,12,6,74,20.3,979
Bills,240,97,26,14,134,25,1086
Saints,216,82,24,11,111,25.5,1044
Colts,231,104,19,6,106,22.7,1084
Cardinals,232,82,24,12,81,20.2,1038
Chargers,203,82,20,10,112,26.5,991
