Player,FF,FR,FR TD
Lyle Alzado,0,0,0
Ed Beckman,0,0,0
Richard Bishop,0,2,0
Kim Bokamper,0,0,0
Randy Burke,0,0,0
Gary Burley,0,0,0
A.J. Duhe,0,2,0
Tim Fox,0,1,0
Tommy Hart,0,0,0
Dewey McClain,0,4,0
Lou Piccone,0,0,0
Steve Raible,0,0,0
Frank Reed,0,5,0
Jim Thaxton,0,0,0
Phil Villapiano,0,2,0
Charlie Waters,0,0,0
