Team,Rsh TD,Rec TD,Tot TD,2-PT
Texans,20,24,44,0
Raiders,19,18,43,0
Patriots,19,37,64,0
Eagles,18,28,48,0
Chargers,18,30,51,1
Giants,17,31,48,1
Vikings,16,14,32,0
Steelers,15,22,41,2
Falcons,14,28,46,2
Jaguars,14,26,41,0
Jets,14,20,39,0
Browns,13,13,28,0
Broncos,13,25,39,0
Titans,13,24,40,0
Colts,13,33,50,0
Chiefs,13,27,44,0
Seahawks,13,14,33,0
Ravens,11,25,40,0
Lions,11,26,40,0
Packers,11,31,45,0
Bears,10,23,37,0
Cowboys,10,29,45,2
Niners,10,19,34,0
Rams,9,18,27,0
Saints,9,33,44,0
Cardinals,9,10,27,0
Buccaneers,9,26,39,1
Redskins,9,21,32,0
Bengals,8,26,35,2
Dolphins,8,17,25,0
Panthers,7,9,17,0
Bills,6,24,33,0
