Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Raiders,45.7,2744,60,51.5,83,3091,26,10,2,6,17,25,227,0,0
Cowboys,45.5,1683,37,51.4,63,1903,16,1,3,2,12,19,180,0,0
Seahawks,44.4,2439,55,50,73,2752,21,3,8,6,9,29,193,0,0
Titans,43.8,2980,68,51.5,74,3499,31,9,7,12,15,25,279,0,1
Jaguars,43.5,2437,56,47.2,62,2645,28,8,4,4,21,19,128,0,0
49ers,43.1,1939,45,47.7,67,2148,22,3,10,2,12,18,169,0,0
Giants,43.1,3488,81,46.5,74,3764,29,6,8,4,28,35,196,0,0
Panthers,42.9,2877,67,46.9,69,3144,22,3,11,4,22,27,187,0,0
Texans,42.9,2789,65,46.4,74,3016,23,5,8,5,25,22,127,0,0
Eagles,42.8,1882,44,48,63,2111,16,2,9,1,7,25,209,0,0
Colts,42.4,2419,57,47.8,69,2723,19,7,9,0,10,31,304,0,1
Buccaneers,42.3,2709,64,50.2,74,3216,24,9,7,7,9,31,367,0,0
Cardinals,42.3,2327,55,49.2,66,2707,10,3,7,2,9,34,340,0,0
Chargers,42.3,2621,62,46.3,83,2873,25,4,7,4,26,21,172,0,0
Browns,42.2,3253,77,49.5,73,3811,27,12,5,9,13,38,378,0,0
Jets,42.2,3422,81,49.4,62,4004,28,5,6,6,23,41,462,1,0
Broncos,42,2606,62,45.8,68,2837,21,4,5,4,25,24,151,0,0
Chiefs,41.9,2012,48,47.5,68,2278,15,3,9,3,15,18,206,0,0
Commanders,41.6,2580,62,46.2,66,2861,26,1,7,2,22,30,241,0,0
Falcons,41.4,2651,64,47,62,3007,24,10,5,2,20,27,316,0,0
Patriots,41.4,3227,78,47.2,79,3681,32,12,7,7,19,33,314,0,0
Dolphins,41.2,1773,43,44.6,66,1916,17,5,6,2,16,14,103,0,0
Lions,41.1,1850,45,45.3,62,2040,20,2,6,2,16,19,150,0,0
Vikings,41,2050,50,47.2,63,2358,13,6,2,6,13,23,188,0,0
Rams,40.4,2182,54,49.5,72,2672,17,5,5,6,12,26,370,1,1
Ravens,40.2,2170,54,47.8,67,2580,25,7,3,4,14,26,330,1,1
Bengals,39.9,2513,63,44,62,2773,16,7,4,5,21,26,160,0,0
Saints,39.6,2492,63,42.9,62,2702,26,6,7,4,21,25,130,0,0
Steelers,39.2,3020,77,44.5,63,3424,29,10,8,7,24,28,264,0,0
Packers,39,2027,52,46,68,2393,18,1,4,5,21,21,266,1,0
Bills,37.8,1513,40,44.9,70,1795,14,4,4,3,12,17,222,1,0
Bears,37.2,2046,55,45.4,62,2496,14,5,7,5,11,27,350,1,0
