Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Broncos,16.9,13,220,0,4,1,45,11,1
Chargers,16.4,22,360,1,6,1,87T,22,3
Ravens,14.4,27,388,1,5,2,76T,23,0
Eagles,13.7,25,343,0,6,1,52,14,1
Saints,12.4,28,347,1,2,1,76T,23,0
Raiders,11,22,242,0,1,0,32,15,1
Jaguars,10.9,23,251,0,4,1,48,15,2
Bengals,10.8,29,313,1,4,1,81T,12,1
Seahawks,10.4,24,250,0,3,0,32,13,2
Jets,9.7,24,232,1,1,1,65T,27,2
Lions,9.4,22,207,0,1,0,24,20,1
Buccaneers,9.4,22,207,0,1,1,51,14,2
Bills,9.4,25,235,0,3,0,24,20,2
Dolphins,9.3,25,233,0,0,0,19,25,1
Colts,9.3,26,242,0,2,0,32,17,3
Cardinals,9.2,25,231,0,2,1,49,10,1
Chiefs,9,33,296,0,5,1,50,14,4
Texans,8.9,23,205,0,2,0,22,21,2
Browns,8.4,38,319,0,1,0,21,26,2
Panthers,8.2,32,262,1,3,1,79T,19,2
Vikings,8.1,33,267,0,3,0,25,13,1
Packers,8,23,183,0,3,0,35,12,5
Bears,7.9,20,158,0,1,0,31,17,2
49ers,7.9,29,228,0,0,0,19,11,2
Commanders,7.8,30,233,0,2,1,61,12,1
Titans,7.6,39,297,0,1,0,21,10,3
Falcons,7.3,26,189,0,1,0,23,17,2
Rams,6.8,26,178,0,1,0,29,19,3
Steelers,6.6,24,159,0,1,0,21,11,2
Giants,6.3,26,164,0,0,0,17,16,6
Patriots,6.2,24,148,0,2,0,25,22,4
Cowboys,5.8,16,92,0,0,0,15,20,1
