Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Browns,33,91.7,22,91.7,0,0
Cowboys,31,100,40,93,0,0
Texans,29,87.9,25,96.2,1,0
Rams,29,74.4,26,92.9,0,0
Jets,28,96.6,11,91.7,0,1
Seahawks,28,80,28,100,0,0
Ravens,27,84.4,39,97.5,0,1
Bears,27,93.1,24,92.3,0,0
Broncos,27,93.1,25,92.6,1,0
Titans,27,96.4,22,91.7,0,0
Colts,26,78.8,32,97,0,0
Falcons,25,89.3,21,95.4,0,0
Chiefs,25,96.2,34,100,0,0
Saints,25,78.1,30,100,0,1
Panthers,24,85.7,16,94.1,0,1
Jaguars,24,80,31,100,0,0
Eagles,24,92.3,37,97.4,0,0
Bengals,23,82.1,34,100,0,1
Cardinals,23,88.5,16,94.1,0,0
Steelers,23,92,18,94.7,0,0
Buccaneers,23,92,29,100,0,0
Packers,22,81.5,26,89.7,0,0
Bills,21,80.8,40,97.6,0,0
Raiders,20,83.3,27,100,0,0
Vikings,20,76.9,30,93.8,0,0
Chargers,19,95,34,100,0,1
49ers,18,85.7,53,100,0,0
Dolphins,17,81,54,98.2,0,0
Giants,17,70.8,18,100,0,0
Commanders,17,77.3,26,89.7,0,0
Lions,15,88.2,41,95.4,0,0
Patriots,13,65,19,100,0,0
