Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Broncos,28.6,11,314,1,8,1,99T,2,0
Panthers,28.5,17,484,0,15,2,52,0,1
Seahawks,26.2,20,524,0,18,1,66,0,0
Commanders,25.9,20,518,0,15,1,40,0,1
Texans,25.3,15,379,1,10,1,85T,1,0
Packers,25,27,676,0,22,2,51,0,0
Vikings,24.6,9,221,0,6,0,38,1,0
Dolphins,24.5,15,367,0,14,0,33,0,0
Colts,24.4,7,171,0,3,1,42,7,0
Jaguars,24.3,19,461,0,14,1,53,0,0
Raiders,23.6,10,236,0,8,1,40,1,0
Steelers,23.1,22,509,0,15,0,37,2,0
Browns,22.9,9,206,0,6,0,33,1,0
Bengals,22.9,15,343,0,10,2,46,0,0
Cowboys,22.7,16,363,0,9,2,63,0,0
Patriots,22.6,14,316,0,10,2,43,1,0
49ers,22.3,16,357,0,9,0,34,0,0
Lions,21.9,18,395,0,10,0,31,2,1
Bears,21.9,16,350,0,11,0,37,2,0
Jets,21.8,15,327,0,9,0,30,1,1
Chargers,21.8,14,305,0,11,0,27,1,0
Chiefs,21.4,7,150,0,5,0,31,6,0
Saints,21.2,20,425,0,10,0,28,1,1
Bills,20.7,14,290,0,8,1,41,4,0
Buccaneers,20.7,15,310,0,7,0,32,5,0
Titans,20.4,17,346,0,10,0,33,9,0
Eagles,20.2,9,182,0,4,0,38,5,0
Ravens,19.3,9,174,0,5,0,28,4,0
Giants,19.2,13,249,0,7,0,36,3,0
Cardinals,18.6,11,204,0,5,0,28,1,0
Rams,17.8,8,142,0,4,0,36,7,0
Falcons,16.9,14,236,0,5,0,29,0,0
