Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Browns,33,36,91.7,0_0,8_8,7_7,13_10,8_8,0_0,58,0
Cowboys,31,31,100,0_0,9_9,12_12,2_2,7_7,1_1,60,0
Texans,29,33,87.9,0_0,11_11,12_12,4_3,6_3,0_0,54,0
Rams,29,39,74.4,0_0,9_9,6_6,14_9,10_5,0_0,54,1
Jets,28,29,96.6,0_0,5_5,9_9,10_10,5_4,0_0,55,0
Seahawks,28,35,80,0_0,4_4,11_10,12_10,8_4,0_0,55,0
Ravens,27,32,84.4,0_0,7_7,9_9,11_10,4_1,1_0,50,1
Bears,27,29,93.1,0_0,7_7,9_9,7_5,6_6,0_0,55,0
Broncos,27,29,93.1,0_0,10_10,12_11,3_3,4_3,0_0,52,1
Titans,27,28,96.4,0_0,9_9,8_8,6_6,5_4,0_0,53,0
Colts,26,33,78.8,0_0,9_9,5_4,8_6,10_7,1_0,57,1
Falcons,25,28,89.3,0_0,8_8,7_7,8_7,5_3,0_0,54,0
Chiefs,25,26,96.2,0_0,5_5,14_13,3_3,3_3,1_1,60,0
Saints,25,32,78.1,0_0,9_7,5_5,9_7,9_6,0_0,55,0
Panthers,24,28,85.7,0_0,6_6,7_7,9_7,6_4,0_0,56,0
Jaguars,24,30,80,0_0,2_2,7_7,12_10,9_5,0_0,56,1
Eagles,24,26,92.3,0_0,7_7,7_6,4_4,7_6,1_1,61,0
Bengals,23,28,82.1,0_0,5_5,4_4,7_7,12_7,0_0,56,0
Cardinals,23,26,88.5,0_0,4_4,6_5,6_6,9_7,1_1,62,0
Steelers,23,25,92,0_0,6_6,5_5,8_7,5_5,1_0,57,0
Buccaneers,23,25,92,0_0,7_7,9_9,3_2,6_5,0_0,57,2
Packers,22,27,81.5,0_0,5_5,11_11,7_4,3_2,1_0,52,0
Bills,21,26,80.8,0_0,2_2,12_11,6_4,6_4,0_0,54,1
Raiders,20,24,83.3,0_0,8_8,5_4,8_7,3_1,0_0,54,1
Vikings,20,26,76.9,1_1,6_6,8_8,5_2,6_3,0_0,54,1
Chargers,19,20,95,0_0,5_5,7_7,3_3,5_4,0_0,55,0
49ers,18,21,85.7,0_0,6_6,7_7,5_3,3_2,0_0,57,0
Dolphins,17,21,81,0_0,4_4,5_5,8_6,4_2,0_0,54,2
Giants,17,24,70.8,0_0,2_2,7_5,10_6,5_4,0_0,57,1
Commanders,17,22,77.3,0_0,3_2,6_6,8_6,4_2,1_1,61,1
Lions,15,17,88.2,0_0,3_2,10_10,2_2,2_1,0_0,52,0
Patriots,13,20,65,0_0,4_4,5_3,8_5,3_1,0_0,51,0
