Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Saints,11.8,35,413,1,5,1,66T,12,3
49ers,11.2,55,614,2,7,2,95T,16,5
Jets,11,38,418,1,6,1,59T,10,1
Patriots,10.5,38,398,0,5,0,30,9,2
Colts,9.8,26,254,1,2,1,73T,12,0
Dolphins,9.6,27,259,0,3,0,36,10,1
Vikings,9.4,59,553,0,3,1,64,20,2
Seahawks,9.2,37,340,0,2,1,41,8,3
Buccaneers,9.1,36,328,0,6,1,40,13,5
Chargers,9,35,314,0,3,0,24,16,3
Cardinals,8.9,52,463,0,2,0,28,11,1
Raiders,8.9,55,489,0,2,0,36,10,3
Broncos,8.5,53,451,0,3,0,24,5,4
Steelers,8.3,39,322,0,2,0,28,12,2
Lions,8.2,42,346,0,4,0,25,8,2
Falcons,8.2,42,343,0,2,1,68,9,6
Browns,8.1,40,325,0,5,0,32,6,3
Cowboys,8,45,360,0,4,0,21,15,2
Bears,7.7,38,294,0,2,0,23,9,6
Giants,7.6,47,359,0,2,0,35,25,3
Bengals,7.6,32,244,0,1,0,20,18,1
Redskins,7.2,52,377,0,3,0,34,9,6
Eagles,7.1,33,233,0,1,0,24,25,3
Chiefs,6.7,32,215,0,0,0,16,6,2
Rams,6.6,49,322,0,2,1,46,11,4
Oilers,6.2,36,225,0,1,0,26,10,1
Packers,5.9,35,208,1,1,1,63T,18,7
Bills,5.8,26,152,0,1,0,24,8,2
