Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Bills,27.6,36,995,0,30,5,60T,0,2
Ravens,26.6,23,613,1,17,1,93,0,0
Cowboys,26.1,37,965,1,25,5,67,0,0
Colts,25.8,43,1111,1,33,2,101,0,0
Chiefs,25.8,25,646,1,18,2,102,0,0
Saints,25.4,30,761,0,22,1,75T,0,1
Panthers,25.3,29,734,0,21,1,98T,0,0
Lions,24.8,34,845,0,22,3,71T,0,0
Bengals,24.6,31,764,1,17,5,103,0,0
Bears,24.4,47,1145,1,31,6,104,0,0
Patriots,23.1,31,717,0,21,1,53T,0,1
Steelers,23.1,29,670,0,20,1,49T,0,0
Seahawks,22.5,28,629,0,19,2,49T,0,0
Browns,22.1,36,795,0,22,1,43T,0,0
Chargers,22,42,924,0,21,3,76T,0,0
Giants,21.9,36,788,0,20,2,48T,0,3
Vikings,21.9,33,722,0,22,0,38T,0,0
Cardinals,21.9,24,525,0,15,2,54T,0,1
Buccaneers,21.8,25,546,0,19,0,34,0,1
Eagles,20.9,31,648,0,17,2,46T,0,1
Football Team,20.8,31,645,0,22,1,46T,0,0
Rams,20.6,25,516,0,14,1,41T,0,0
Broncos,20.6,27,557,0,17,0,31T,0,0
Jaguars,20.5,30,614,0,14,1,40T,0,1
Falcons,20.4,20,409,0,11,0,29T,0,1
Titans,20.2,38,767,1,18,1,42,0,0
Texans,20.1,36,722,0,23,0,29T,0,0
Jets,19.8,41,811,0,18,2,66,0,0
49ers,19.3,27,520,0,12,0,34T,0,1
Raiders,19,22,418,0,10,1,44T,0,2
Packers,18.9,33,623,0,17,0,34T,0,1
Dolphins,17.9,12,215,0,4,1,45T,0,0
