Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Patriots,15.5,23,357,1,4,3,70,16,1
Broncos,13.4,20,267,1,3,2,83,25,3
Lions,12.8,17,217,1,2,1,74,17,2
Bills,11.9,31,370,1,5,1,84,13,2
Raiders,11.5,23,265,0,3,0,32T,10,1
Giants,11.4,20,228,0,3,0,20T,16,0
Jaguars,11.4,18,205,1,1,1,91,12,1
Dolphins,11.1,32,354,1,3,1,88,9,3
Saints,10.2,39,399,0,2,1,42,18,2
Bengals,10.1,23,232,0,3,0,29T,20,1
Colts,10.1,31,312,0,3,0,26T,15,0
Steelers,9.6,37,356,0,2,2,57,22,3
Cowboys,9.1,29,265,0,4,1,73T,14,1
Ravens,9,27,244,0,1,0,20T,18,0
Titans,9,23,208,0,2,1,40,12,0
49ers,9,25,226,0,2,0,21,26,3
Falcons,8.9,17,152,0,2,0,24,23,0
Eagles,8.8,26,230,1,2,1,73,27,3
Jets,8.6,10,86,0,0,0,18,29,0
Seahawks,8.6,22,189,0,1,0,20T,22,2
Texans,7.9,20,158,0,0,0,19T,11,2
Bears,7.6,25,190,0,1,0,32,14,3
Rams,6.9,34,235,0,1,0,34T,28,4
Buccaneers,5.9,30,176,0,1,0,21T,14,0
Panthers,5.8,20,117,0,1,0,20T,18,1
Chiefs,5.8,28,163,1,1,1,67,15,3
Football Team,5.7,31,176,0,2,0,22T,26,7
Chargers,5.6,18,100,0,1,0,30T,15,1
Cardinals,5.4,25,136,0,2,0,24T,15,1
Packers,4.8,11,53,0,0,0,11,19,1
Browns,4.8,24,115,0,0,0,13T,11,0
Vikings,4.3,16,69,0,0,0,13T,11,4
