Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
49ers,94,5975,31,33,61,19.6,0,0,2,0
Cowboys,86,5023,13,15.1,66,18.6,4,2,3,1
Broncos,85,5106,20,23.5,63,17.8,0,0,2,0
Oilers,85,5283,22,25.9,60,17.7,1,1,2,0
Packers,82,4675,7,8.5,70,20.1,0,0,4,0
Raiders,79,4843,31,39.2,45,17.4,1,1,2,0
Chargers,79,4718,12,15.2,64,16.6,0,0,3,0
Lions,78,4934,46,59,30,20.3,1,0,1,0
Dolphins,78,4754,13,16.7,62,20,1,0,2,0
Falcons,77,4435,9,11.7,55,19.4,3,0,2,0
Saints,77,4863,35,45.4,40,19.7,2,0,0,0
Steelers,76,4703,19,25,54,21.6,1,1,2,1
Bills,75,4532,28,37.3,43,19.8,1,0,2,0
Chiefs,73,4409,21,28.8,49,20.6,1,0,2,0
Cardinals,72,4444,15,20.8,51,19.5,1,0,5,0
Seahawks,71,4336,15,21.1,52,18.6,0,0,3,1
Browns,70,4123,21,30,46,17.7,3,1,0,0
Vikings,70,4097,9,12.9,58,24.5,1,0,2,1
Giants,70,4530,39,55.7,29,22.3,1,1,1,0
Eagles,67,4033,11,16.4,53,21.4,0,0,2,0
Bears,64,3755,9,14.1,53,17.3,1,1,1,0
Jets,63,3665,10,15.9,47,19.4,1,0,5,0
Patriots,62,3646,13,21,44,20.9,2,1,2,0
Colts,59,3244,16,27.1,37,14.9,3,1,3,0
Rams,58,3425,10,17.2,47,20.9,1,1,0,0
Buccaneers,58,3378,25,43.1,28,17.8,5,1,0,0
Redskins,57,3550,20,35.1,36,20.1,1,0,0,0
Bengals,54,3345,16,29.6,38,21.9,0,0,0,0
