Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Redskins,29,49,59.2,12_10,9_6,14_8,11_3,0_0,0_0,52,1
Dolphins,28,40,70,7_7,8_8,11_6,12_7,0_0,0_0,48,2
Chiefs,26,45,57.8,13_12,9_5,9_4,9_4,0_0,0_0,54,3
Broncos,25,38,65.8,9_8,5_3,11_8,12_6,0_0,0_0,49,3
49ers,23,36,63.9,7_7,5_5,13_6,11_5,0_0,0_0,48,1
Lions,22,37,59.5,6_6,9_8,15_7,3_1,0_0,0_0,49,1
Vikings,22,32,68.8,9_9,8_4,7_6,8_3,0_0,0_0,47,2
Cardinals,21,32,65.6,5_5,13_8,6_5,8_3,0_0,0_0,45,2
Bengals,20,36,55.6,6_6,8_5,9_4,10_4,0_0,0_0,51,1
Colts,20,29,69,4_4,8_7,4_3,11_5,0_0,0_0,50,0
Cowboys,18,33,54.6,6_6,9_7,2_0,15_5,0_0,0_0,48,0
Rams,18,29,62.1,7_6,8_6,3_2,10_4,0_0,0_0,49,1
Eagles,18,37,48.6,2_1,12_8,9_3,7_2,0_0,0_0,54,6
Oilers,17,28,60.7,1_1,9_8,5_2,10_6,0_0,0_0,44,1
Saints,17,28,60.7,7_6,4_4,11_7,5_0,0_0,0_0,38,3
Steelers,17,27,63,6_5,7_5,7_4,6_3,0_0,0_0,45,2
Chargers,17,29,58.6,5_5,6_6,3_1,12_4,0_0,0_0,50,1
Bears,15,33,45.4,6_4,3_1,11_5,11_5,0_0,0_0,45,1
Browns,15,28,53.6,3_2,6_6,9_6,9_1,0_0,0_0,40,1
Raiders,15,22,68.2,4_4,7_5,7_4,3_2,0_0,0_0,42,2
Packers,14,26,53.8,5_5,10_6,5_2,5_1,0_0,0_0,44,3
Falcons,13,21,61.9,4_4,7_5,5_3,5_1,0_0,0_0,41,3
Bills,12,25,48,3_3,3_0,3_2,11_6,0_0,0_0,51,1
Patriots,12,21,57.1,1_1,3_1,7_6,7_3,0_0,0_0,51,3
Jets,8,19,42.1,1_1,3_1,7_5,7_1,0_0,0_0,42,1
Giants,6,17,35.3,1_1,3_3,7_2,6_0,0_0,0_0,37,2
