Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Ravens,58,3718,48,82.8,9,22.1,0,0,0,0
Cowboys,57,3711,53,93,2,32,0,0,1,0
Colts,55,3542,42,76.4,10,25.6,0,0,0,0
Bills,54,3401,33,61.1,18,20.8,1,0,1,0
Vikings,53,3372,38,71.7,13,24,1,0,1,0
Dolphins,52,3389,42,80.8,10,30.4,0,0,0,1
Saints,51,3326,47,92.2,4,21,0,0,0,0
Eagles,51,3305,41,80.4,10,30.2,0,0,0,0
49ers,51,3232,30,58.8,18,21.6,0,0,2,0
Browns,50,3169,31,62,15,18.1,0,0,0,0
Lions,50,3164,30,60,18,20.5,1,0,0,0
Texans,49,3103,29,59.2,18,22.2,0,0,0,0
Chargers,49,3165,44,89.8,4,21.2,0,0,0,0
Falcons,47,3043,39,83,7,21.9,0,0,0,0
Bears,47,2958,38,80.8,7,22.4,2,0,0,0
Seahawks,47,3000,31,66,12,22.2,0,0,1,0
Jaguars,46,2956,36,78.3,6,31.3,0,0,0,1
Chiefs,46,3011,44,95.6,2,25,0,0,0,0
Commanders,46,2892,44,95.6,0,0,2,0,0,0
Broncos,45,2828,40,88.9,3,17.7,2,0,0,0
Rams,45,2831,37,82.2,7,30.3,1,0,0,0
Cardinals,44,2758,37,84.1,3,21,2,1,0,0
Buccaneers,44,2818,30,68.2,12,18.8,0,0,0,0
Raiders,43,2758,27,62.8,16,21.1,0,0,0,0
Bengals,42,2707,33,78.6,6,18.8,0,0,0,0
Titans,41,2587,24,58.5,15,21.7,1,0,0,0
Jets,41,2649,36,87.8,4,15,0,0,0,0
Steelers,41,2602,28,68.3,11,25.4,0,0,0,0
Packers,40,2549,22,55,15,23.2,1,0,1,0
Panthers,38,2244,24,63.2,10,24.7,4,0,0,0
Patriots,38,2379,25,65.8,12,23.4,1,0,0,0
Giants,34,2176,28,82.4,6,24.2,0,0,0,0
