Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Jake Browning,127,27,3,1,0,21,12,44.4,0
Taylor Heinicke,124,15,1,1,0,24,5,33.3,1
Darrynton Evans,121,32,1,0,0,13,10,31.2,0
Jayden Reed,119,11,2,3,0,32,6,54.6,0
CeeDee Lamb,113,14,2,1,0,24,6,42.9,0
Darrell Henderson,112,46,2,0,0,16,5,10.9,0
KaVontae Turpin,110,11,1,2,1,46,5,45.4,1
Tyson Bagent,109,23,2,1,0,20,11,47.8,0
D'Ernest Johnson,108,41,0,0,0,19,5,12.2,0
Chris Brooks,106,19,0,2,1,52,2,10.5,0
Derius Davis,101,14,0,1,1,51,5,35.7,0
Gardner Minshew,100,34,3,1,0,23,7,20.6,0
Mac Jones,96,26,0,0,0,18,11,42.3,1
Isaiah Spiller,96,37,0,0,0,8,1,2.7,0
Tony Jones,95,26,2,0,0,19,7,26.9,0
Damien Harris,94,23,1,0,0,11,9,39.1,0
Ameer Abdullah,89,15,0,0,0,12,6,40,0
Puka Nacua,89,12,0,1,0,31,5,41.7,0
Joe Burrow,88,31,0,1,0,20,9,29,0
Tyler Goodson,87,13,0,1,0,31,4,30.8,0
Wan'Dale Robinson,87,9,1,2,0,32,4,44.4,0
Boston Scott,86,20,0,0,0,18,5,25,0
Emanuel Wilson,85,14,0,1,0,31,2,14.3,0
Bailey Zappe,83,17,1,0,0,18,6,35.3,0
Melvin Gordon,81,26,1,1,0,22,4,15.4,1
La'Mical Perine,77,22,0,0,0,10,3,13.6,0
Tre Tucker,77,10,0,1,0,34,4,40,0
Kalif Raymond,75,7,0,1,1,40,2,28.6,0
Keaontay Ingram,74,35,0,0,0,14,4,11.4,0
Ihmir Smith-Marsette,74,8,1,1,0,20,4,50,0
Tua Tagovailoa,74,35,0,0,0,9,5,14.3,9
Ryan Tannehill,74,17,1,1,0,23,4,23.5,1
Israel Abanikanda,70,22,0,0,0,12,3,13.6,0
Trayveon Williams,69,15,0,0,0,15,2,13.3,0
Xavier Gipson,68,8,1,0,0,18,4,50,1
Kevin Harris,65,16,1,0,0,18,2,12.5,0
Matthew Stafford,65,21,0,0,0,9,4,19,0
Dorian Thompson-Robinson,65,14,0,0,0,12,4,28.6,1
Salvon Ahmed,61,22,1,0,0,10,3,13.6,0
Jerick McKinnon,60,21,1,0,0,10,7,33.3,0
Calvin Austin III,57,11,1,0,0,12,4,36.4,0
Will Levis,57,25,1,0,0,11,7,28,2
Zay Flowers,56,8,1,1,0,37,1,12.5,0
Deven Thompkins,56,8,0,0,0,17,4,50,0
Carson Wentz,56,17,1,0,0,12,4,23.5,0
Tyler Huntley,55,15,0,0,0,11,3,20,0
Laviska Shenault Jr.,55,12,0,0,0,11,3,25,0
Kenny Pickett,54,42,1,0,0,11,12,28.6,2
Mitchell Trubisky,54,16,2,0,0,15,6,37.5,1
Marcus Mariota,52,8,0,0,0,17,6,75,0
Tank Dell,51,11,0,0,0,13,3,27.3,0
Velus Jones Jr.,51,8,0,0,0,17,4,50,0
Tyquan Thornton,51,3,0,1,0,39,1,33.3,0
Xavier Hutchinson,49,5,0,0,0,17,3,60,0
Eric Gray,48,17,0,0,0,12,2,11.8,1
Raheem Blackshear,46,14,0,0,0,9,1,7.1,0
Blaine Gabbert,45,7,0,1,0,25,2,28.6,0
Damien Williams,43,11,0,0,0,9,1,9.1,0
Ke'Shawn Vaughn,42,24,0,0,0,9,0,0,0
Demario Douglas,41,8,0,1,0,20,2,25,0
Tyler Scott,41,7,0,0,0,16,2,28.6,0
Derek Carr,40,32,0,0,0,10,4,12.5,2
Leonard Fournette,40,12,0,0,0,9,2,16.7,0
Trevor Siemian,40,11,0,0,0,13,5,45.4,1
Deuce Vaughn,40,23,0,0,0,13,1,4.4,0
Jimmy Garoppolo,39,20,0,0,0,9,6,30,1
Chris Moore,39,2,0,1,0,38,1,50,0
Curtis Samuel,39,7,1,0,0,15,4,57.1,0
Chris Godwin,38,4,1,0,0,19,3,75,0
Rashid Shaheed,37,7,0,0,0,12,1,14.3,0
DeeJay Dallas,36,10,0,0,0,8,2,20,0
C.J. Beathard,35,8,0,0,0,19,2,25,1
Brandin Cooks,35,5,0,0,0,14,1,20,0
