Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Isiah Pacheco,44,244,2,2,0,33,12,27.3,0,359,49
Jonathan Mingo,43,418,0,6,1,40,15,34.9,1,155,85
Hunter Henry,42,419,6,2,0,24,29,69,1,66,61
Tee Higgins,42,656,5,8,2,80,33,78.6,0,235,76
Saquon Barkley,41,280,4,4,1,46,16,39,0,226,60
Rondale Moore,40,352,1,4,1,48,17,42.5,1,216,62
Josh Reynolds,40,608,5,17,0,33,32,80,1,173,64
Robert Woods,40,426,1,2,0,26,26,65,0,126,75
Tutu Atwell,39,483,3,8,2,44,26,66.7,0,104,67
Chuba Hubbard,39,233,0,1,0,25,9,23.1,1,265,44
Tanner Hudson,39,352,1,3,0,26,21,53.8,0,148,50
Trey Palmer,39,385,3,6,1,54,17,43.6,3,103,68
Khalil Shakir,39,611,2,10,2,81,26,66.7,0,282,45
D'Andre Swift,39,214,1,2,0,20,8,20.5,1,267,49
Michael Thomas,39,448,1,4,0,31,21,53.8,0,100,64
Dontayvion Wicks,39,581,4,11,0,35,29,74.4,3,211,58
Quentin Johnston,38,431,2,5,1,57,20,52.6,0,152,67
Josh Palmer,38,581,2,9,3,79,22,57.9,1,196,61
Rhamondre Stevenson,38,238,0,2,0,34,8,21,0,257,51
Michael Wilson,38,565,3,7,1,69,29,76.3,0,139,58
Kendrick Bourne,37,406,4,5,0,36,15,40.5,1,190,55
Josh Jacobs,37,296,0,1,0,21,15,40.5,1,293,54
Juwan Johnson,37,368,4,7,0,32,23,62.2,0,145,59
Brian Robinson,36,368,4,8,2,51,15,41.7,1,410,43
Nelson Agholor,35,381,4,4,0,37,19,54.3,1,141,45
Odell Beckham Jr.,35,565,3,10,3,51,27,77.1,1,155,64
DJ Chark,35,525,5,9,2,47,22,62.9,2,84,66
Kalif Raymond,35,489,1,9,2,41,20,57.1,0,214,44
Durham Smythe,35,366,0,3,0,22,22,62.9,0,139,43
Michael Gallup,34,418,2,6,1,41,19,55.9,0,89,57
Roschon Johnson,34,209,0,2,0,24,6,17.6,0,247,40
Zay Jones,34,321,2,3,0,36,14,41.2,0,51,64
Luke Musgrave,34,352,1,5,0,37,14,41.2,0,169,46
Allen Robinson,34,280,0,2,0,31,9,26.5,0,68,49
Noah Brown,33,567,2,14,1,75,24,72.7,0,223,55
Zach Charbonnet,33,209,0,1,0,39,7,21.2,0,248,40
Taysom Hill,33,291,2,2,0,36,11,33.3,0,133,40
DeVante Parker,33,394,0,6,0,30,17,51.5,0,124,55
Rashod Bateman,32,367,1,2,0,29,20,62.5,0,59,56
Noah Fant,32,414,0,7,1,51,16,50,0,177,43
Pat Freiermuth,32,308,2,3,0,29,17,53.1,0,145,47
Alec Pierce,32,514,2,8,2,58,24,75,0,97,65
Kyren Williams,32,206,3,2,0,24,9,28.1,1,277,48
Tucker Kraft,31,355,2,5,1,43,18,58.1,0,232,40
Jaleel McLaughlin,31,160,2,1,0,22,5,16.1,0,290,36
Darnell Mooney,31,414,1,7,1,41,20,64.5,0,181,61
Kenneth Gainwell,30,183,0,0,0,19,11,36.7,0,175,37
Kylen Granson,30,368,1,5,2,46,19,63.3,0,128,50
Aaron Jones,30,233,1,2,1,51,13,43.3,1,271,43
Isaiah Likely,30,411,5,6,1,54,15,50,0,216,40
Alexander Mattison,30,192,3,1,1,47,5,16.7,0,181,44
Devin Singletary,30,193,0,2,1,41,7,23.3,0,223,38
Mike Gesicki,29,244,2,0,0,18,11,37.9,0,88,45
Najee Harris,29,170,0,1,0,32,9,31,0,175,38
Brandon Powell,29,324,1,6,0,28,18,62.1,0,104,44
JuJu Smith-Schuster,29,260,1,3,0,37,13,44.8,0,94,47
Kenneth Walker III,29,259,1,3,1,64,9,31,0,317,37
Noah Gray,28,305,2,4,0,34,16,57.1,0,140,41
Derrick Henry,28,214,0,2,1,46,7,25,0,275,36
Justice Hill,28,206,1,4,0,24,8,28.6,1,237,39
Christian Watson,28,422,5,5,2,77,20,71.4,0,105,53
Nick Westbrook-Ikhine,28,370,3,8,0,33,18,64.3,0,107,45
De'Von Achane,27,197,3,2,0,23,10,37,0,262,37
Braxton Berrios,27,238,1,1,0,22,15,55.6,0,85,33
James Conner,27,165,2,2,0,34,11,40.7,0,221,33
Zach Ertz,27,187,1,0,0,17,8,29.6,0,46,43
Michael Mayer,27,304,2,2,0,32,19,70.4,0,164,40
Zack Moss,27,192,2,1,0,26,10,37,0,189,37
Donald Parham,27,285,4,2,0,24,22,81.5,0,126,41
Miles Sanders,27,154,0,0,0,14,8,29.6,0,158,41
Kadarius Toney,27,169,1,0,0,18,12,44.4,1,128,38
Justin Watson,27,460,3,8,1,41,21,77.8,1,47,53
Demarcus Robinson,26,371,4,7,0,37,20,76.9,2,89,39
Daniel Bellinger,25,255,0,4,0,26,6,24,0,134,28
Austin Hooper,25,234,0,2,0,21,12,48,0,142,31
Trenton Irwin,25,316,1,7,0,32,15,60,1,110,32
Jerick McKinnon,25,192,4,1,0,27,10,40,0,219,32
Raheem Mostert,25,175,3,1,0,22,6,24,2,213,32
Colby Parkinson,25,247,2,5,0,27,11,44,0,86,34
Hunter Renfrow,25,255,0,3,0,38,11,44,1,152,37
Michael Carter,24,101,1,0,0,10,5,20.8,0,87,31
Greg Dortch,24,280,2,3,0,38,14,58.3,0,152,41
Jameson Williams,24,354,2,5,2,63,14,58.3,1,105,42
Connor Heyward,23,167,0,0,0,13,8,34.8,0,94,34
Jalin Hyatt,23,373,0,7,3,58,11,47.8,1,48,40
Allen Lazard,23,311,1,5,0,39,17,73.9,0,56,49
Tommy Tremble,23,194,3,2,0,30,10,43.5,0,95,32
AJ Dillon,22,223,0,4,0,35,10,45.4,0,231,28
Dawson Knox,22,186,2,0,0,17,13,59.1,0,96,36
Marvin Mims Jr.,22,377,1,6,4,60,9,40.9,0,154,33
Chris Moore,22,424,0,9,3,49,16,72.7,1,57,35
Josh Oliver,22,213,2,3,0,33,12,54.6,1,162,28
Drew Sample,22,163,2,1,0,22,9,40.9,0,173,27
Jalen Tolbert,22,268,2,3,1,45,13,59.1,0,34,36
Adam Trautman,22,204,3,2,0,24,10,45.4,0,98,35
Ced Wilson,22,296,3,5,0,31,14,63.6,0,57,38
Ty Chandler,21,159,0,0,0,19,7,33.3,0,206,25
Emari Demercado,21,119,0,1,0,22,4,19,0,109,30
Xavier Gipson,21,229,0,4,0,36,9,42.9,0,109,38
Isaiah Hodgins,21,230,3,1,0,24,12,57.1,1,75,33
Skyy Moore,21,244,1,3,1,54,13,61.9,0,109,38
Foster Moreau,21,193,1,1,0,23,9,42.9,0,96,25
Cedric Tillman,21,224,0,1,0,23,12,57.1,0,88,44
Marquez Valdes-Scantling,21,315,1,5,1,46,14,66.7,1,92,42
Parris Campbell,20,104,0,0,0,17,2,10,0,65,27
Khalil Herbert,20,134,1,1,0,23,9,45,1,138,31
Van Jefferson,20,209,0,1,1,46,10,50,0,25,43
Ameer Abdullah,19,131,0,0,0,18,4,21,0,88,24
John Bates,19,151,0,1,0,35,6,31.6,0,65,28
Jake Bobo,19,196,2,3,0,31,9,47.4,0,87,25
Jauan Jennings,19,265,1,4,0,31,12,63.2,0,89,33
Brandon Johnson,19,284,4,6,1,50,12,63.2,0,89,30
Terrace Marshall Jr.,19,139,0,0,0,14,8,42.1,1,48,33
Jonathan Taylor,19,153,1,2,1,40,5,26.3,0,174,23
Tre Tucker,19,331,2,6,3,50,12,63.2,0,28,34
