Player,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Tylan Wallace,21.2,6,127,1,2,1,76,6,0
Curtis Bolton,17,1,17,0,0,0,17,0,0
Marvin Mims Jr.,16.4,19,312,0,5,2,52,13,1
Derius Davis,16,24,385,1,6,1,87,29,3
Britain Covey,14.4,29,417,0,7,2,54,18,2
Tremon Smith,14,1,14,0,0,0,14,0,0
Rashid Shaheed,13.6,25,339,1,2,1,76,23,0
Christian Kirk,13.5,2,27,0,0,0,15,3,0
Desmond King,12.6,8,101,0,1,0,22,4,1
Devin Duvernay,12.6,23,290,0,4,1,70,20,0
Deonte Harty,12.4,26,323,1,4,1,96,25,2
Steven Sims,12.2,4,49,0,0,0,18,4,0
Gunner Olszewski,11.7,24,281,1,1,1,94,8,3
Elijah Moore,11.5,2,23,0,0,0,13,0,0
Kalif Raymond,11.4,29,331,0,3,1,42,23,1
Rondale Moore,11,1,11,0,0,0,11,3,0
Charlie Jones,10.8,23,248,1,2,1,81,11,0
DeeJay Dallas,10.6,25,265,0,3,0,32,16,2
Josh Downs,10.5,6,63,0,0,0,14,6,0
Parker Washington,10.5,12,126,0,3,0,26,5,1
Jamal Agnew,10.3,14,144,0,1,1,48,9,0
Braxton Berrios,10.2,23,235,0,0,0,19,24,1
Richie James,10,20,200,0,4,0,27,8,2
Trenton Irwin,9.8,10,98,0,2,0,28,5,1
Jaelon Darden,9.8,4,39,0,0,0,11,1,0
DeAndre Carter,9.7,24,232,0,1,0,32,18,2
Xavier Gipson,9.7,33,319,1,2,1,65,30,3
Kadarius Toney,9.7,6,58,0,1,0,21,0,0
Greg Dortch,9.5,29,275,0,2,1,49,8,0
Deven Thompkins,9.4,25,234,0,1,1,51,18,2
Tank Dell,9.1,11,100,0,1,0,20,6,1
Mason Kinsey,9.1,11,100,0,1,0,21,6,0
James Proche,9,22,197,0,1,0,21,27,1
Isaiah McKenzie,8.9,23,204,0,2,0,32,16,3
Mecole Hardman,8.7,7,61,0,1,1,50,5,1
Ihmir Smith-Marsette,8.7,37,322,1,4,1,79,20,2
Calvin Austin III,8.6,29,249,0,3,0,34,12,2
Jayden Reed,8.6,11,94,0,2,0,35,14,2
Ray-Ray McCloud,8.5,24,203,0,0,0,19,9,1
Trent Taylor,8.2,23,188,0,1,0,31,21,2
Dee Alford,8,20,160,0,1,0,23,7,2
Kearis Jackson,8,6,48,0,0,0,14,3,0
Bijan Robinson,8,1,8,0,0,0,8,0,0
Jamison Crowder,7.9,35,278,0,3,1,61,14,2
Brandon Powell,7.8,37,289,0,3,0,25,14,1
Montrell Washington,7.6,8,61,0,1,0,23,4,2
Lynn Bowden,7.6,7,53,0,0,0,16,1,0
Eric Garror,7.6,21,159,0,0,0,15,5,2
Ced Wilson,7.5,4,30,0,0,0,14,2,0
Khalil Shakir,7.4,5,37,0,0,0,10,0,1
Austin Trammell,7.3,25,183,0,1,0,29,19,3
Ronnie Bell,7,10,70,0,0,0,17,4,1
Myles Bryant,7,15,105,0,0,0,15,12,1
Marcus Jones,7,3,21,0,1,0,21,1,1
Kyren Williams,7,3,21,0,0,0,11,5,0
Keisean Nixon,6.8,14,95,0,1,0,34,1,3
Jabrill Peppers,6.5,4,26,0,0,0,18,3,1
Donovan Peoples-Jones,6.5,13,84,0,0,0,13,8,1
Mike Hughes,6.1,11,67,0,0,0,16,10,0
KaVontae Turpin,6.1,13,79,0,0,0,15,22,0
Robert Woods,6,7,42,0,0,0,12,10,0
Kyle Philips,5.8,4,23,0,0,0,12,0,1
Demario Douglas,5.1,11,56,0,1,0,25,10,2
Deuce Vaughn,4.8,4,19,0,0,0,11,1,0
Eric Gray,4,7,28,0,0,0,14,5,2
Scott Miller,4,1,4,0,0,0,4,1,0
Sterling Shepard,3.3,3,10,0,0,0,5,2,1
Tevaughn Campbell,0,1,0,0,0,0,0,0,1
Antonio Hamilton,0,1,0,0,0,0,0,0,1
Andrei Iosivas,0,1,0,0,0,0,0,0,0
Bobby McCain,0,1,0,0,0,0,0,0,1
Nick McCloud,0,1,0,0,0,0,0,0,1
Jalen Tolbert,0,1,0,0,0,0,0,0,1
Samori Toure,0,1,0,0,0,0,0,0,1
