Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Tyler Bass,101,6469,537,71,70.3,30,17.9,0,0,0,0
Bradley Pinion,100,6498,471,85,85,14,33.6,0,0,1,0
Harrison Butker,95,6119,508,72,75.8,21,24.2,0,0,2,1
Daniel Carlson,95,5966,748,61,64.2,32,23.4,2,0,0,0
Justin Tucker,95,6094,634,65,68.4,30,21.1,0,0,0,0
Wil Lutz,94,5929,379,71,75.5,21,18,2,0,1,0
Jason Myers,91,5792,815,52,57.1,38,21.4,1,0,0,0
Jason Sanders,91,5577,361,64,70.3,23,15.7,4,0,1,0
Greg Zuerlein,90,5589,583,60,66.7,27,21.6,3,1,0,0
Stephen Gostkowski,86,5373,715,51,59.3,32,22.3,2,0,1,0
Cairo Santos,86,5252,836,42,48.8,41,20.4,3,0,0,0
Ka'imi Fairbairn,85,5338,670,52,61.2,32,20.9,2,1,0,0
Dan Bailey,83,4948,649,53,63.9,25,26,5,0,0,1
Mason Crosby,82,5275,856,48,58.5,33,25.9,0,0,1,0
Ty Long,81,5187,822,49,60.5,31,26.5,1,0,0,0
Cody Parkey,81,5175,912,45,55.6,35,26.1,0,0,1,1
Joey Slye,81,5095,144,71,87.6,7,20.6,3,0,0,0
Dustin Hopkins,78,4808,235,65,83.3,9,26.1,4,0,0,0
Rigoberto Sanchez,77,4803,947,33,42.9,44,21.5,1,0,0,1
Chris Boswell,73,4652,613,44,60.3,28,21.9,0,0,1,0
Jake Elliott,73,4508,531,46,63,24,22.1,3,0,0,0
Graham Gano,73,4357,888,30,41.1,40,22.2,3,0,0,1
Brandon McManus,73,4516,484,54,74,16,30.2,4,0,0,1
Jake Bailey,72,4584,624,42,58.3,29,21.5,1,0,0,0
Mitch Wishnowsky,67,4229,583,42,62.7,23,25.4,2,0,0,0
Younghoe Koo,66,4160,847,28,42.4,36,23.5,2,1,0,0
Zane Gonzalez,65,4112,549,36,55.4,28,19.6,1,0,1,0
Jack Fox,60,3700,851,19,31.7,38,22.4,2,0,2,0
Randy Bullock,58,3656,273,43,74.1,13,21,1,0,1,0
Logan Cooke,46,2844,350,25,54.4,18,19.4,1,0,2,0
Sam Sloman,44,2828,467,24,54.6,19,24.6,0,0,1,0
Matt Gay,35,2267,184,28,80,6,30.7,0,0,1,0
Sam Ficken,32,2004,300,18,56.2,12,25,1,0,1,0
Braden Mann,28,1813,315,16,57.1,12,26.2,0,0,0,0
Sterling Hofrichter,22,1415,109,16,72.7,5,21.8,0,0,1,0
Rodrigo Blankenship,20,1267,140,13,65,7,20,0,0,0,0
Aldrick Rosas,20,1266,76,15,75,5,15.2,0,0,0,0
Austin Seibert,20,1290,206,13,65,7,29.4,0,0,0,0
Mike Nugent,19,1202,304,3,15.8,16,19,0,0,0,0
Matt Prater,18,1065,198,7,38.9,11,18,0,0,0,0
J.K. Scott,16,965,232,4,25,12,19.3,0,0,0,0
Matthew Wright,15,869,295,1,6.7,13,22.7,1,0,0,0
Robbie Gould,13,577,212,1,7.7,9,23.6,4,0,0,1
Kai Forbath,9,585,181,4,44.4,5,36.2,0,0,0,0
Josh Lambo,5,227,43,2,40,2,21.5,1,0,0,0
Elliott Fry,4,259,54,2,50,2,27,0,0,0,0
Taylor Russolino,4,209,102,0,0,3,34,1,0,0,0
Mike Badgley,3,177,91,0,0,3,30.3,0,0,0,0
Nick Folk,3,172,56,0,0,3,18.7,0,0,0,0
Chase McLaughlin,3,177,55,0,0,3,18.3,0,0,0,0
Bryan Anger,2,126,35,0,0,2,17.5,0,0,0,0
Britton Colquitt,2,104,21,0,0,2,10.5,0,0,0,0
Michael Dickson,2,26,0,0,0,0,0,2,0,0,0
Cameron Johnston,2,118,50,0,0,2,25,0,0,0,0
Chris Jones,2,116,23,0,0,2,11.5,0,0,0,0
Andy Lee,2,121,42,0,0,2,21,0,0,0,0
Sam Martin,2,114,41,0,0,2,20.5,0,0,0,0
Tommy Townsend,2,103,41,0,0,2,20.5,0,0,0,0
Aaron Brewer,1,15,0,0,0,0,0,1,0,0,0
Jon Brown,1,9,0,0,0,0,0,1,0,0,0
Keelan Cole,1,11,0,0,0,0,0,1,0,0,0
Riley Dixon,1,50,22,0,0,1,22,0,0,0,0
Jamie Gillan,1,55,22,0,0,1,22,0,0,0,0
Matt Haack,1,49,15,0,0,1,15,0,0,0,0
Brett Kern,1,48,13,0,0,1,13,0,0,0,0
Thomas Morstead,1,33,0,0,0,1,0,0,0,0,0
Ryan Succop,1,16,0,0,0,0,0,1,0,0,0
Tristan Vizcaino,1,65,0,1,100,0,0,0,0,0,0
