Player,INT,INT TD,INT Yds,Lng
Xavien Howard,10,0,77,29
J.C. Jackson,9,0,80,30
Tyrann Mathieu,6,1,70,25
Quandre Diggs,5,0,57,32
Justin Simmons,5,0,90,46
Harrison Smith,5,0,33,16
Malcolm Butler,4,0,111,68
Carlton Davis,4,0,42,34
Minkah Fitzpatrick,4,1,77,37
Kendall Fuller,4,0,0,0
Amani Hooker,4,0,11,6
Kenny Moore II,4,1,45,29
Marcus Peters,4,0,17,12
Darnell Savage,4,0,13,9
Darious Williams,4,0,21,19
Jessie Bates,3,0,12,12
Tyus Bowser,3,0,53,25
James Bradberry,3,0,19,19
Kamren Curl,3,1,88,76
Michael Davis,3,1,86,78
Pierre Desir,3,1,58,35
Trevon Diggs,3,0,43,33
Jordan Fuller,3,0,45,37
Shaquill Griffin,3,0,20,16
Jeff Heath,3,0,89,47
Troy Hill,3,2,119,84
Mike Hilton,3,0,5,8
Donte Jackson,3,0,110,66
Janoris Jenkins,3,1,53,36
Malcolm Jenkins,3,0,58,48
Eric Kendricks,3,0,0,0
Dre Kirkpatrick,3,0,13,13
Patrick Peterson,3,0,7,7
Joe Schobert,3,1,45,43
L'Jarius Sneed,3,0,42,39
Daniel Sorensen,3,1,67,50
Tre'Davious White,3,0,28,28
Marcus Williams,3,0,37,20
Eric Wilson,3,0,23,16
Blidi Wreh-Wilson,3,0,26,23
Johnathan Abram,2,0,29,24
Ricardo Allen,2,0,29,19
Adrian Amos,2,0,47,24
Budda Baker,2,0,90,90
Julian Blackmon,2,0,19,15
Bashaud Breeland,2,0,29,29
Anthony Brown,2,0,14,14
Bryce Callahan,2,0,0,0
T.J. Carrie,2,1,47,47
Cameron Dantzler,2,0,0,0
Terrell Edmunds,2,0,11,7
Mike Edwards,2,0,67,37
Marcus Epps,2,0,0,0
Tashaun Gipson,2,0,10,9
B.J. Goodson,2,0,7,7
Joe Haden,2,1,38,24
Duron Harmon,2,0,22,21
Rayshawn Jenkins,2,0,23,23
Byron Jones,2,0,15,15
Deion Jones,2,1,84,67
Jonathan Jones,2,0,0,0
Sidney Jones,2,0,1,1
Christian Kirksey,2,0,18,10
Marshon Lattimore,2,0,13,13
Dean Marlowe,2,0,39,23
Marcus Maye,2,0,0,0
Devin McCourty,2,1,62,43
Fabian Moreau,2,0,0,0
Trayvon Mullen,2,0,0,0
Ryan Neal,2,0,1,1
Nik Needham,2,0,1,1
Steven Nelson,2,0,3,3
Foye Oluokun,2,0,65,51
Adrian Phillips,2,0,5,5
Jason Pierre-Paul,2,0,15,15
Brian Poole,2,0,15,13
Jordan Poyer,2,0,14,14
D.J. Reed,2,0,21,20
Xavier Rhodes,2,1,44,44
Patrick Robinson,2,0,0,0
Eric Rowe,2,0,26,22
Roquan Smith,2,0,16,11
M.J. Stewart,2,0,51,30
Jamar Taylor,2,0,8,8
Jason Verrett,2,0,0,0
Levi Wallace,2,0,0,0
Denzel Ward,2,0,0,0
Fred Warner,2,0,3,3
Jordan Whitehead,2,0,2,2
Donovan Wilson,2,0,5,5
Khari Willis,2,1,93,50
