Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Colts,101,5988,4,4,92,21.3,0,0,5,0
Chiefs,94,5688,7,7.4,85,22.4,2,1,0,0
Patriots,94,5921,6,6.4,86,23.3,0,0,1,1
Chargers,91,5507,2,2.2,83,22.2,1,0,5,2
Broncos,86,5459,16,18.6,68,24,2,1,1,1
Eagles,86,5579,12,14,73,23.2,0,0,0,0
Steelers,84,5218,7,8.3,74,21.6,0,0,3,1
Bills,83,4835,3,3.6,77,18.3,3,1,1,0
Bengals,83,5014,2,2.4,80,19.7,1,0,0,0
Packers,83,4862,2,2.4,79,20.2,3,0,0,0
Seahawks,83,5091,5,6,77,21.8,1,0,1,0
Vikings,82,5159,4,4.9,75,24.9,2,0,1,1
Saints,79,5042,1,1.3,74,23.1,2,0,2,0
Jets,79,4989,7,8.9,72,21.6,0,0,0,1
Ravens,77,4838,9,11.7,65,23.2,0,0,3,2
Panthers,77,4501,3,3.9,69,21.4,3,0,2,0
Titans,77,4454,3,3.9,69,20.1,4,3,0,0
Raiders,76,4871,12,15.8,62,23.5,1,0,0,0
Falcons,74,4709,13,17.6,56,20,3,2,3,1
Lions,72,4632,14,19.4,54,19.6,2,0,2,0
Texans,71,4506,9,12.7,60,23.1,1,0,1,1
Giants,71,4094,2,2.8,66,19.4,2,1,1,0
Rams,70,4449,3,4.3,66,25.4,0,0,1,1
Cardinals,70,4722,23,32.9,46,22.1,0,0,1,1
Browns,69,4172,5,7.2,59,22.6,4,1,1,1
Cowboys,67,4134,3,4.5,62,17.5,1,1,1,0
Buccaneers,67,4051,6,9,58,22.7,2,0,1,1
Dolphins,65,4164,12,18.5,51,21.8,0,0,1,1
Jaguars,62,4042,11,17.7,50,19.9,0,0,1,0
Redskins,62,3647,1,1.6,57,21.5,2,0,2,1
49ers,61,3441,1,1.6,56,20,3,0,1,0
Bears,57,3337,0,0,54,21.5,2,0,1,0
