Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Greg Montgomery,46.9,38.7,2052,55,66,2487,14,6,5,9,2,31,255,0,2
Brad Daluiso,46.7,40.7,407,10,67,467,3,2,0,1,1,6,40,0,0
Mike Horan,45.4,41.3,1529,38,62,1681,7,10,4,1,8,14,132,0,1
Harry Newsome,45,36.2,2604,73,84,3243,19,4,6,15,13,34,339,1,1
Pete Stoyanovich,45,45,90,2,48,90,0,0,1,0,1,0,0,0,0
Rohn Stark,44.8,39.3,3263,83,64,3716,22,4,9,7,18,45,313,0,0
Rick Tuten,44.1,38.7,4184,108,65,4760,29,7,11,8,26,56,416,1,0
Tommy Barnhardt,44,37.8,2529,67,62,2947,19,2,3,10,21,31,218,0,0
Jim Arnold,43.8,35.2,2290,66,71,2846,12,10,10,10,5,30,356,0,1
Sean Landeta,43.7,32.7,1731,55,71,2317,13,3,6,9,5,30,406,2,2
Bryan Barker,43.3,35.8,2685,76,65,3245,16,6,7,13,14,35,300,1,1
Chris Gardocki,43,36.2,2862,79,61,3393,19,6,11,9,15,38,351,1,0
Mike Saxon,43,33.5,2043,61,58,2620,19,4,8,9,6,34,397,0,0
Rich Camarillo,42.9,39.6,2136,54,73,2317,23,9,10,2,11,22,141,0,0
Mark Royals,42.7,36,2631,74,58,3119,22,10,8,9,7,39,308,0,1
John Kidd,42.6,36.4,2475,68,65,2899,22,5,11,9,19,24,244,1,0
Jeff Gossett,42.3,36.5,2810,77,56,3255,17,19,5,3,10,40,385,0,0
Jeff Feagles,42.2,36.9,3024,82,68,3459,26,6,13,7,20,36,295,0,0
Chris Mohr,42.2,36.8,2206,60,61,2531,12,3,10,7,18,22,185,0,0
Lee Johnson,42,36,2732,76,64,3196,15,10,11,9,14,32,284,1,0
Greg Davis,41.8,36.8,147,4,52,167,0,1,2,1,0,0,0,0,0
Brian Hansen,41.7,36.6,2709,75,73,3083,28,3,14,7,23,27,234,0,1
Ruben Rodriguez,41.5,35.3,1622,47,55,1907,9,1,8,4,10,23,205,0,1
Scott Fulhage,41.4,33.5,2276,69,56,2818,11,4,7,3,10,44,482,4,1
Reggie Roby,41.2,34.3,1200,35,60,1443,11,2,8,3,6,16,183,0,0
Kent Sullivan,41.2,38.2,229,6,59,247,2,0,2,0,0,4,18,0,0
Don Bracken,41.1,33.2,2520,76,59,3122,20,1,12,4,11,48,522,1,0
Shawn McCarthy,41,35.4,3648,103,61,4227,19,5,14,4,21,59,499,1,0
Louie Aguiar,41,37.6,2744,73,65,2993,21,12,14,3,18,26,189,0,0
Daren Parker,40.9,31.9,383,12,61,491,1,2,2,1,0,7,88,0,0
Dan Stryzinski,40.7,36.2,2678,74,57,3015,15,6,9,11,26,22,117,0,0
Bryan Wagner,40.7,35,1049,30,52,1222,10,3,3,5,3,16,73,0,0
Kelly Goodburn,39.9,33.2,2123,65,66,2555,17,5,14,5,13,27,332,1,1
Klaus Wilmsmeyer,39.1,34.7,1701,49,58,1918,19,5,10,2,9,23,177,0,0
Paul McJulien,38.5,31.9,1149,38,67,1386,8,7,8,4,7,10,157,1,2
Norm Johnson,37,37,37,1,37,37,1,1,0,0,0,0,0,0,0
Joe Prokop,37,28.9,926,32,56,1184,2,1,3,0,6,22,258,1,0
Nick Lowery,35.2,32.8,131,4,39,141,0,1,1,0,1,1,10,0,0
