Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Sterling Sharpe,108,1461,13,16,7,76,69,63.9,2,0,0
Andre Rison,93,1119,11,12,1,71,55,59.1,2,0,0
Haywood Jeffires,90,913,9,10,2,47,52,57.8,1,0,0
Jerry Rice,84,1201,10,20,3,80,58,69,1,0,0
Curtis Duncan,82,954,1,9,1,72,51,62.2,0,0,0
Ronnie Harmon,79,914,1,10,2,55,35,44.3,2,0,0
Michael Irvin,78,1396,7,21,6,87,71,91,1,0,0
Mike Pritchard,77,827,5,12,0,38,46,59.7,3,0,0
John L. Williams,74,556,2,4,0,27,27,36.5,2,0,0
Anthony Miller,72,1060,7,14,3,67,47,65.3,0,0,0
Brett Perriman,69,810,4,10,1,40,40,58,1,0,0
Eric Martin,68,1041,5,16,3,52,50,73.5,1,0,0
Jay Novacek,68,630,6,5,0,34,37,54.4,0,0,0
Fred Barnett,67,1083,6,18,6,71,49,73.1,1,0,0
Ernest Givins,67,787,10,9,1,41,45,67.2,3,0,0
Reggie Langhorne,65,811,1,13,0,34,39,60,0,0,0
Andre Reed,65,913,3,11,2,51,41,63.1,4,0,0
Gary Clark,64,912,5,13,2,47,40,62.5,1,0,0
Lawrence Dawsey,60,776,1,11,1,41,38,63.3,1,0,0
Drew Hill,60,623,3,8,1,43,30,50,1,0,0
Ricky Proehl,60,744,3,6,2,63,37,61.7,5,0,0
Emmitt Smith,59,335,1,3,0,26,12,20.3,1,0,0
Randal Hill,58,861,3,12,6,49,35,60.3,2,0,0
Thurman Thomas,58,626,3,9,1,43,35,60.3,2,0,0
Chris Burkett,57,724,1,9,0,37,36,63.2,1,0,0
Lorenzo White,57,641,1,7,2,69,26,45.6,0,0,0
Keith Byars,56,502,2,5,1,46,23,41.1,0,0,0
Mark Carrier,56,692,4,10,1,40,37,66.1,1,0,0
Irving Fryar,55,791,4,11,2,54,38,69.1,0,0,0
Jackie Harris,55,595,2,4,1,40,28,50.9,1,0,0
Wendell Davis,54,734,2,8,1,40,38,70.4,0,0,0
Bobby Humphrey,54,507,1,2,0,26,26,48.2,0,0,0
Cris Carter,53,681,6,11,1,44,34,64.2,1,0,0
Shannon Sharpe,53,640,2,8,3,55,26,49.1,1,0,0
Marv Cook,52,413,2,2,0,27,24,46.2,2,0,0
Cleveland Gary,52,293,3,1,0,22,18,34.6,1,0,0
Jessie Hester,52,792,1,9,2,81,39,75,0,0,0
James Lofton,51,786,6,11,2,50,43,84.3,0,0,0
Herman Moore,51,966,4,12,7,77,37,72.6,0,0,0
Ricky Sanders,51,707,3,10,2,62,42,82.4,0,0,0
Larry Centers,50,417,2,5,0,26,19,38,1,0,0
Rob Moore,50,726,4,12,2,48,32,64,0,0,0
Terry Allen,49,478,2,7,0,36,20,40.8,1,0,0
Tim Brown,49,693,7,9,2,68,33,67.4,2,0,0
Jeff Graham,49,711,1,7,3,51,36,73.5,0,0,0
Anthony Johnson,49,517,3,6,1,57,22,44.9,1,0,0
Ed McCaffrey,49,610,5,8,1,44,27,55.1,2,0,0
Harry Sydney,49,384,1,1,0,20,19,38.8,1,0,0
Michael Haynes,48,808,10,10,4,89,38,79.2,0,0,0
Dalton Hilliard,48,465,4,5,1,41,21,43.8,1,0,0
Keith Jackson,48,594,5,9,1,42,29,60.4,2,0,0
Mark Jackson,48,745,8,12,2,51,34,70.8,0,0,0
Tony Paige,48,399,1,2,0,30,18,37.5,1,0,0
Henry Ellard,47,727,3,11,0,33,37,78.7,0,0,0
Michael Jackson,47,755,7,8,5,69,28,59.6,0,0,0
Eric Metcalf,47,614,5,6,2,69,25,53.2,2,0,0
Vince Workman,47,290,0,1,0,21,17,36.2,0,0,0
Art Monk,46,644,3,9,3,49,32,69.6,1,0,0
Tom Waddle,46,674,4,8,4,68,35,76.1,0,0,0
Brent Jones,45,628,4,11,1,43,30,66.7,1,0,0
Reggie Rivers,45,449,1,7,0,37,16,35.6,2,0,0
Bill Brooks,44,468,1,3,0,26,28,63.6,0,0,0
Mark Duper,44,762,7,9,5,62,30,68.2,2,0,0
Todd McNair,44,380,1,4,0,36,15,34.1,1,0,0
Tom Rathman,44,343,4,1,0,27,20,45.4,0,0,0
Kerry Cash,43,521,3,8,1,41,27,62.8,0,0,0
Mark Clayton,43,619,3,11,1,44,26,60.5,1,0,0
Ricky Watters,43,405,2,6,0,35,21,48.8,0,0,0
Neal Anderson,42,399,6,5,0,30,22,52.4,1,0,0
J.J. Birden,42,644,3,10,2,72,27,64.3,3,0,0
Calvin Williams,42,598,7,8,2,49,28,66.7,0,0,0
Anthony Carter,41,580,2,5,3,54,29,70.7,0,0,0
Harold Green,41,214,0,0,0,19,11,26.8,1,0,0
Earnest Byner,39,338,1,3,0,29,17,43.6,0,0,0
Ron Hall,39,351,4,2,0,32,21,53.8,0,0,0
Webster Slaughter,39,486,4,7,0,36,23,59,2,0,0
Flipper Anderson,38,657,7,9,5,51,29,76.3,1,0,0
Ernie Jones,38,559,4,6,2,72,30,79,0,0,0
Dave Meggett,38,229,2,1,0,24,11,29,1,0,0
Mike Sherrard,38,607,0,11,2,56,25,65.8,1,0,0
Herschel Walker,38,278,2,3,1,41,11,29,0,0,0
Willie Davis,36,756,3,13,6,74,28,77.8,0,0,0
Barry Foster,36,344,0,4,1,42,12,33.3,1,0,0
Alvin Harper,35,562,4,9,2,52,25,71.4,1,0,0
Leonard Harris,35,435,2,7,2,47,20,57.1,0,0,0
Tim McGee,35,408,3,5,0,36,19,54.3,0,0,0
Greg McMurtry,35,424,1,7,1,65,21,60,0,0,0
Gary Anderson,34,284,0,2,0,34,10,29.4,0,0,0
Nate Lewis,34,580,4,9,4,62,25,73.5,0,0,0
Brad Muster,34,389,2,6,1,44,16,47.1,0,0,0
Jim Price,34,324,2,2,0,25,18,52.9,2,0,0
Dwight Stone,34,501,3,10,2,49,23,67.6,0,0,0
Derrick Walker,34,393,2,4,1,59,21,61.8,0,0,0
Johnny Bailey,33,331,1,4,0,34,17,51.5,0,0,0
Don Beebe,33,554,2,4,2,65,29,87.9,1,0,0
Willie Green,33,586,5,8,3,73,24,72.7,1,0,0
Ethan Horton,33,409,2,6,0,30,18,54.6,1,0,0
Tony Martin,33,553,2,5,4,55,26,78.8,1,0,0
Ricky Ervins,32,252,0,0,0,19,11,34.4,1,0,0
Daryl Johnston,32,249,2,0,0,18,14,43.8,0,0,0
Kelvin Martin,32,359,3,2,0,27,22,68.8,0,0,0
Al Toon,31,311,2,2,0,32,16,51.6,0,0,0
Quinn Early,30,566,5,11,3,59,26,86.7,0,0,0
Pete Metzelaars,30,298,6,3,1,53,19,63.3,0,0,0
Ernie Mills,30,383,3,4,0,22,22,73.3,2,0,0
Jeff Chadwick,29,362,3,5,0,27,22,75.9,1,0,0
Shawn Jefferson,29,377,2,4,1,51,19,65.5,0,0,0
Barry Sanders,29,225,1,1,1,48,7,24.1,0,0,0
Marcus Allen,28,277,1,1,1,40,13,46.4,0,0,0
Rodney Hampton,28,215,0,2,0,31,9,32.1,0,0,0
Merril Hoge,28,231,1,1,0,20,9,32.1,2,0,0
Steve Jordan,28,394,2,6,1,60,18,64.3,0,0,0
Steve Smith,28,217,1,0,0,19,10,35.7,0,0,0
Chris Calloway,27,335,1,4,0,28,18,66.7,0,0,0
Howard Cross,27,357,2,5,0,29,16,59.3,2,0,0
Willie Gault,27,508,4,7,2,53,23,85.2,0,0,0
Mark Ingram,27,408,1,11,0,34,19,70.4,0,0,0
Tommy Kane,27,369,3,4,0,31,21,77.8,0,0,0
Anthony McDowell,27,258,2,3,1,51,10,37,1,0,0
Rodney Culver,26,210,2,2,0,27,8,30.8,0,0,0
Leroy Hoard,26,310,1,4,1,46,13,50,1,0,0
Rodney Holman,26,266,2,2,0,26,18,69.2,0,0,0
Arthur Marshall,26,493,1,8,3,80,18,69.2,0,0,0
Carl Pickens,26,326,1,5,0,38,12,46.2,2,0,0
Michael Timpson,26,315,1,1,0,25,20,76.9,0,0,0
Mark Bavaro,25,315,2,4,0,39,17,68,0,0,0
John Taylor,25,428,3,7,2,54,18,72,0,0,0
