Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Vikings,96,1075,11.2,9,17,3,62,49,51,2
Chargers,91,988,10.9,7,16,2,49,46,50.6,3
Patriots,81,748,9.2,5,3,1,58,37,45.7,2
Bills,80,728,9.1,5,7,1,40T,38,47.5,0
Texans,78,906,11.6,4,11,2,68T,42,53.8,0
Chiefs,77,834,10.8,7,10,1,54,38,49.4,2
Panthers,76,660,8.7,4,6,1,47T,34,44.7,0
Colts,76,677,8.9,3,7,1,43,34,44.7,2
Jaguars,76,744,9.8,3,8,1,45T,37,48.7,2
Rams,76,910,12,2,12,2,46,46,60.5,0
Dolphins,74,1091,14.7,9,14,3,68,54,73,0
Lions,72,819,11.4,5,13,1,45,39,54.2,2
Seahawks,71,736,10.4,4,8,0,36T,39,54.9,0
Cowboys,69,647,9.4,3,8,1,49T,35,50.7,2
Broncos,68,791,11.6,6,11,4,60,32,47.1,2
Saints,68,745,11,2,10,4,45T,32,47.1,0
Bengals,67,563,8.4,2,4,1,43,28,41.8,0
Browns,65,678,10.4,4,7,1,43,33,50.8,2
Giants,65,568,8.7,2,6,1,58,26,40,2
Commanders,65,671,10.3,3,8,0,37T,29,44.6,1
Raiders,64,709,11.1,5,6,0,32T,33,51.6,0
Ravens,63,608,9.6,2,8,1,52,27,42.9,1
Eagles,63,640,10.2,3,8,2,63,25,39.7,0
Steelers,62,689,11.1,4,8,2,72,25,40.3,1
Buccaneers,62,636,10.3,4,9,1,70,29,46.8,2
49ers,61,736,12.1,4,11,1,40,37,60.7,2
Cardinals,59,549,9.3,2,6,1,69,28,47.5,0
Falcons,55,553,10,2,7,1,45,25,45.4,0
Bears,51,526,10.3,3,8,0,33T,26,51,1
Packers,51,655,12.8,7,8,1,51T,33,64.7,0
Titans,49,548,11.2,1,8,3,70,22,44.9,0
Jets,44,467,10.6,2,6,1,68T,19,43.2,0
