Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Eagles,113,557,4.9,4,3,1,43,37,32.7,1
Cowboys,107,441,4.1,3,3,0,31T,27,25.2,0
Ravens,106,474,4.5,6,1,0,20T,30,28.3,1
Browns,106,482,4.6,3,2,1,69T,26,24.5,3
49ers,101,488,4.8,5,2,2,65T,25,24.8,2
Dolphins,93,565,6.1,8,6,4,67,23,24.7,4
Lions,92,335,3.6,3,1,0,21T,18,19.6,1
Falcons,91,385,4.2,3,2,0,22,25,27.5,0
Bills,90,448,5,4,3,0,36,28,31.1,2
Patriots,87,321,3.7,1,0,0,18,23,26.4,0
Colts,84,330,3.9,4,2,0,24T,20,23.8,1
Cardinals,84,469,5.6,4,8,2,45T,22,26.2,2
Buccaneers,84,234,2.8,1,0,0,14,14,16.7,0
Chiefs,82,344,4.2,2,1,0,31,25,30.5,0
Saints,82,280,3.4,2,0,0,19,17,20.7,1
Jaguars,80,295,3.7,3,1,0,26T,18,22.5,1
Packers,79,271,3.4,2,2,0,24,14,17.7,1
Chargers,76,324,4.3,3,1,1,55,23,30.3,0
Seahawks,76,313,4.1,4,1,0,36,20,26.3,0
Texans,75,210,2.8,1,0,0,14,8,10.7,1
Rams,75,252,3.4,4,1,0,22,19,25.3,0
Bears,71,305,4.3,2,1,0,29,19,26.8,1
Titans,71,271,3.8,2,1,0,23T,15,21.1,0
Giants,66,264,4,3,0,0,18T,18,27.3,1
Jets,66,274,4.2,1,2,1,83T,14,21.2,3
Panthers,65,298,4.6,1,2,0,26,16,24.6,2
Broncos,65,285,4.4,1,0,0,16,17,26.2,0
Commanders,64,319,5,3,2,0,27,23,35.9,1
Raiders,63,185,2.9,0,1,0,34,11,17.5,2
Steelers,62,201,3.2,0,2,0,24,11,17.7,0
Bengals,58,208,3.6,1,1,0,22,11,19,0
Vikings,50,199,4,0,0,0,15,9,18,2
